stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,18.4,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,22.03,0,0,44.06,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,24,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,5,98,6,0,1,1,0,0,0,8,2,1,10,45,0,0,2,0,0
 24-34,0.82,0,0,0,11.49,0,0,14.78,0.82,1.64,0.82,13.13,0,2.46,0,0,0,0.82,0.82,3.28,26.27,0,0.82,14.78,216.71,4.1,0,2.46,0,0,2.46,0,0,0,0.82,1.64,58.28,0,0,9.03,0,0
 36-46,0,0,0,0,4.03,0,0,28.2,0.81,0.81,0.81,22.56,0,0,0,0,0,7.25,0,5.64,34.64,0,0,7.25,212.7,5.64,0,1.61,0,0,0.81,0,0,2.42,0,0,78.15,0,0,11.28,0,1.61
 48-58,0,0,0,0,7.46,0,0,36.15,0.57,0.57,0.57,45.9,0,0,0,0,0,3.44,0,7.46,38.44,0,2.3,5.74,74.59,4.59,1.15,4.59,0,0,0.57,0,0,0.57,0,0,45.33,0,0,8.61,0,2.87
 60-70,0,0,0,0,2.94,0,0,25.52,1.96,4.91,0,47.11,0,0.98,0.98,0,0,3.93,0,0,51.04,0,0,4.91,43.19,1.96,0,0,0,0,0.98,0,0,0,0.98,0,19.63,0,1.96,10.8,0.98,5.89
 72-82,0,0,0,0,5.89,0,0,38.28,1.96,2.94,6.87,70.68,0,0,0.98,0.98,0,12.76,0,1.96,70.68,0,1.96,0.98,48.1,0.98,0.98,5.89,0,0,0.98,0,0,0,0.98,0,16.69,0,0.98,22.58,3.93,1.96
 84-94,0,0,0,0,12.74,0,0,50.98,1.06,4.25,0,31.86,0,0,3.19,2.12,2.12,2.12,1.06,13.81,40.36,0,1.06,5.31,31.86,4.25,0,2.12,0,0,1.06,0,0,0,0,0,12.74,0,0,11.68,0,4.25
 96-106,0,0,0,0,13.11,0,0,28.41,2.19,6.56,1.09,38.25,0,0,2.19,1.09,0,5.46,1.09,8.74,53.55,0,1.09,3.28,41.53,0,0,5.46,0,1.09,1.09,0,0,0,1.09,0,8.74,0,4.37,15.3,2.19,5.46
108-118,0,0,0.77,0,13.79,0.77,0.77,35.23,2.3,1.53,2.3,29.11,1.53,0,1.53,2.3,3.83,6.13,0.77,13.79,35.23,0.77,1.53,5.36,42.89,5.36,1.53,6.13,0,1.53,0,0,0,0,2.3,0,4.6,1.53,0.77,16.09,2.3,3.83
120,0,0,0,0,13.72,0,0,37.24,1.96,11.76,0,29.4,3.92,0,0,1.96,3.92,5.88,0,1.96,25.48,0,0,5.88,48.99,3.92,0,3.92,0,0,0,0,0,0,0,0,3.92,0,1.96,17.64,0,1.96
