stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,8,2,0,0,0,0,0,1,0,0,0,2,0,1,4,1,20,1,0,0,0,1,0,2,0,1,2,9,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,1.64,23.8,0,0,0,0,0,0,0,0,0,0,8.21,0,0
 36-46,0,0,0,0.81,0,0,6.45,0,0.81,0,1.61,0,0,0,0,0,0,4.83,0.81,34.64,0,1.61,0,0,0.81,0,0,0,0,0,9.67,0.81,0
 48-58,0,0,0,1.72,0,0,9.75,0.57,0,0,0,0,0,0,0.57,0,0,2.87,0,20.08,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0,35.33,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0.98,17.67,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,90.31,0,0,1.96,0.98,0.98,0,0.98,0,0,0,4.91,0,21.6,0,0,0,0,2.94,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,95.58,0,0,0,0,0,0,0,2.12,1.06,0,1.06,1.06,7.43,0,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,77.59,0,0,2.19,1.09,0,0,1.09,0,0,1.09,1.09,0,14.21,0,0,0,0,4.37,0,0,0,0,0,1.09,0,0
108-118,0,0,2.3,1.53,1.53,0.77,54.38,0,0,0,1.53,0,0.77,0,0,0,0.77,1.53,0,12.26,0,0,0,0,3.06,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,58.79,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,9.8,0,0,0,0,1.96,0,0,0,0,0,0,0,0
