stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,24.52,312.61,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0,115.74,0,0,0,0,0,0,0,41.04,0,0,0,0
 36-46,0,0,0.81,0,0,0,4.83,0,0,0.81,0,0.81,0,0,0,0,1.61,0,0,0,256.2,0,0,0,0,0.81,0,0,36.26,0,0,0,0
 48-58,0,0,0,0,0.57,0,16.64,1.72,0,4.59,0,0.57,0,0,0,0,5.16,0,0,1.15,312.15,0,0,0,0.57,0,0,0,21.8,0,0,0,0
 60-70,0,0,0,0,1.96,0,86.37,0,0.98,10.8,0,0,0,0,0.98,0,3.93,0.98,0,0,577.13,0,0.98,0,0,0,0,0,31.41,0,0,0,0
 72-82,0,0,0.98,0,1.96,0.98,118.78,0.98,2.94,14.72,0.98,0,0,0.98,0,0,21.6,0,0,2.94,612.56,0,1.96,0,0.98,0,0,0,35.34,0.98,0.98,0.98,0
 84-94,0,0,1.06,0,4.25,0,75.4,2.12,5.31,16.99,0,0,0,1.06,0,0,8.5,0,0,0,285.69,0,1.06,0,0,0,0,0,10.62,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,62.29,3.28,0,13.11,1.09,0,0,0,0,1.09,8.74,0,0,2.19,269.93,0,0,0,3.28,0,0,0,5.46,2.19,0,2.19,1.09
108-118,0,0,0.77,0,2.3,0,45.96,2.3,0.77,13.79,0,0,0.77,0,0,0.77,10.72,0,0.77,5.36,259.66,0.77,0,0,2.3,0,0,0,1.53,0,1.53,0,0
120,0,0,0,0,3.92,1.96,35.28,1.96,0,11.76,0,0,0,0,0,1.96,11.76,0,0,11.76,248.89,0,0,0,0,0,0,0,1.96,0,0,0,0
