stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,10.51,0,7.89,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,162.98,5.26,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,44.06,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,29,7,12,0,0,0,10,0,0,1,0,1,0,0,0,0,14,0,0,12,202,8,0,5,7,1,21,2,1,21,72,0,0,0,0,0
 24-34,0,0,0,1.64,12.31,0.82,24.63,0,0,0,4.93,0,0,0.82,0.82,0.82,0.82,0.82,0,0,23.8,0,0,13.13,208.5,0,0.82,4.1,0,0,0.82,0,0,2.46,43.51,0,0,6.57,0,0
 36-46,0,0,0,0,2.42,0,29.81,0,0,0,6.45,0,0,0.81,0,0,0,0,0,0.81,20.95,0,0.81,4.83,145.02,1.61,0.81,0.81,0,0.81,0,0.81,0,0,24.17,0,0,0,0,0
 48-58,0,0,0,0,2.87,0,30.99,0,0,0.57,8.03,0,0,0,0,0,0,0.57,0,0,16.07,0.57,0.57,2.3,62.54,0,0,0.57,0,2.3,0,0.57,0,0,15.49,0,0,1.72,0,0
 60-70,0,0,0,0,2.94,0,24.54,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,18.65,0,0,4.91,47.11,0,0,0.98,0,0,0,0.98,0.98,0,6.87,0,0,0,0,0.98
 72-82,0,0,0,0,2.94,1.96,32.39,0,0,0.98,13.74,0,0,1.96,0,0,0,0.98,0.98,0,28.47,0,0,5.89,47.12,0,0.98,3.93,0,1.96,0,0,0,0,5.89,0,1.96,2.94,0.98,0
 84-94,0,0,0,0,4.25,0,16.99,0,0,0,8.5,1.06,0,0,1.06,0,1.06,0,0,1.06,30.8,0,1.06,1.06,20.18,0,0,3.19,0,7.43,0,1.06,0,0,3.19,1.06,1.06,2.12,1.06,1.06
 96-106,0,0,1.09,0,2.19,0,9.84,0,0,1.09,9.84,1.09,0,0,0,2.19,0,1.09,0,0,19.67,0,1.09,2.19,12.02,0,0,2.19,0,4.37,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,3.06,0,7.66,0.77,0.77,0.77,7.66,0,0,0,0,0,0.77,0,0.77,0,24.51,0,2.3,1.53,26.81,0,0,1.53,0,5.36,0,0,0,0,0.77,0.77,0,0,0,2.3
120,0,0,0,0,0,0,7.84,0,0,0,11.76,0,0,0,0,0,1.96,0,0,0,13.72,0,1.96,3.92,19.6,0,0,0,0,3.92,0,0,0,0,3.92,0,0,0,0,0
