stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,4,0,2,1,4,0,3,0
 24-34,0,0,4.1,0.82,0,0,0,0,0,0.82,0,0,0,1.64,0,0,2.46,0,0,0,16.42,1.64,0.82,0,0,2.46,0,0,0,0,4.93,0,0,0
 36-46,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,11.28,0,0,0,0,1.61,0,0,0,0,2.42,0,2.42,0
 48-58,0,0,1.15,0,0,4.59,0,0,1.15,0,0,0.57,0,0,0,0,3.44,1.72,0.57,1.72,14.35,0.57,0,0,0,4.02,0,0,0,0,6.31,0,1.15,0
 60-70,0,0,0.98,0,0,8.83,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0.98,0,0,10.8,0,0,0,0,5.89,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0.98,0,6.87,0,1.96,3.93,0,0,0,1.96,0,0,0.98,6.87,0.98,0.98,0,26.5,1.96,0.98,0,0,7.85,0,0,0,0,0.98,0,6.87,0
 84-94,0,0,0,0,0,0,0,1.06,0,2.12,1.06,0,0,0,1.06,0,1.06,1.06,0,1.06,5.31,0,0,1.06,0,19.12,0,1.06,0,0,1.06,1.06,8.5,0
 96-106,1.09,0,3.28,0,0,5.46,1.09,0,0,5.46,0,0,1.09,0,1.09,1.09,1.09,0,0,0,9.84,0,1.09,0,0,34.97,0,0,0,0,1.09,1.09,3.28,1.09
108-118,0,0,4.6,0.77,3.83,1.53,0,0.77,0,1.53,0,0,0.77,0.77,0,0,3.83,0,0,0,1.53,1.53,0,0,0,16.09,0,0,0,0,0,0,6.89,0
120,0,0,1.96,0,0,1.96,1.96,1.96,0,5.88,0,0,1.96,1.96,0,0,3.92,0,1.96,0,5.88,1.96,0,0,0,41.16,0,1.96,0,0,0,0,7.84,0
