stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,4,18,0,0,0,0,2,1,7,0,1,0
 24-34,0,0,1.64,0,0,4.1,0,0,1.64,0.82,0.82,0,0,6.57,0,0,1.64,42.68,0.82,0,0,0,0,2.46,5.75,0,0,0
 36-46,0,0,0.81,0,0,6.45,0,0,4.83,0,0,0,0,4.03,0,0,0,33.84,0.81,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,0,0,7.46,0,0,10.33,0,0,0,0,0,0,0,0,7.46,0,0.57,0,0.57,0,0,5.74,0,0,0
 60-70,0,0,0,0,0,10.8,0,0,11.78,0,0,0,0,1.96,0,0,0.98,6.87,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0.98,1.96,0,7.85,0,0,22.58,18.65,0,0,0,1.96,0,0,0.98,6.87,0,0,0.98,0,0,0,0.98,0,0.98,0
 84-94,0,0,2.12,1.06,0,5.31,0,0,8.5,12.74,0,1.06,0,1.06,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,3.28,4.37,0,18.58,0,0,19.67,169.39,0,0,0,6.56,1.09,1.09,2.19,19.67,0,1.09,0,1.09,0,0,1.09,0,1.09,1.09
108-118,0,0,3.06,6.13,1.53,19.92,0.77,0.77,24.51,259.66,0,1.53,2.3,8.43,0,0,3.83,18.38,0,0.77,0,3.06,0,0,0.77,0,0.77,1.53
120,0,0,3.92,1.96,0,13.72,0,0,13.72,203.82,0,1.96,0,0,0,0,0,27.44,0,0,0,3.92,0,0,1.96,0,0,0
