stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,6.29,0,0,56.65,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,12,7,6,0,0,0,2,2,1,0,0,0,0,0,0,1,3,0,0,8,71,2,0,5,1,0,0,0,13,1,1,22,42,0,0,0,0,0
 24-34,0,0,0.82,7.39,4.1,13.13,0,1.64,0,4.93,0,0,0,0,0,0,0,3.28,0,11.49,0.82,0,6.57,192.08,1.64,0.82,1.64,0.82,0,5.75,0,0,0.82,0,6.57,37.76,0,0,4.1,0,1.64
 36-46,0,0,0,0.81,0,42.7,0,0,0,11.28,0,0,0,0,0.81,0,0,0.81,0.81,16.11,0.81,0.81,4.83,221.56,0,0.81,0.81,0,0,4.83,0,0,0,0,0,44.31,0,0,0.81,0,0.81
 48-58,0,0,0,2.87,0.57,82.05,0,0,0.57,16.07,0,0.57,1.15,0,0,0,1.15,0,0,33.28,0,0.57,2.87,196.82,1.15,2.3,2.3,0,0,2.87,0,0,0,0,0,44.18,0,0,2.87,0,1.15
 60-70,0,0,0,0,0,132.51,0,0,0.98,22.58,0.98,0,0,0,0,0.98,0,0,0.98,33.37,0.98,0,2.94,239.49,2.94,0,0.98,0,0.98,3.93,0,0,0,0,0,30.43,0.98,1.96,3.93,0,0
 72-82,0,0,0,2.94,4.91,92.28,0,0,1.96,26.5,0,0,1.96,0.98,0,0,0.98,0,0,44.17,0.98,1.96,2.94,149.21,0.98,6.87,0.98,0,0,1.96,0,0,0,0,0,17.67,0.98,2.94,9.82,2.94,0
 84-94,0,0,0,5.31,3.19,65.85,1.06,1.06,0,15.93,1.06,0,1.06,1.06,0,1.06,0,1.06,1.06,29.74,0,3.19,4.25,72.22,1.06,0,2.12,0,1.06,15.93,0,0,0,0,0,8.5,1.06,0,4.25,3.19,0
 96-106,0,0,0,7.65,1.09,49.18,0,2.19,1.09,8.74,0,0,1.09,1.09,1.09,0,1.09,2.19,0,19.67,1.09,0,2.19,67.76,0,1.09,1.09,0,0,13.11,0,0,0,0,0,1.09,0,1.09,0,1.09,0
108-118,0,0,0,3.83,3.06,23.74,0,1.53,0,6.13,0.77,0,0,1.53,0.77,0,0,0,0,19.15,0,0.77,2.3,56.68,0,2.3,0.77,0,0,4.6,0,0,0,0,0,1.53,0,1.53,1.53,0.77,0
120,0,0,0,9.8,3.92,27.44,1.96,0,0,17.64,1.96,0,0,7.84,0,1.96,1.96,0,0,15.68,0,1.96,1.96,76.43,0,0,5.88,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
