stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 14-21,2,2,0,0,0,0,3,0,0,0,2,2,3,1,0,1,5,1,1,5,2,0
 24-34,2.46,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0.81,0,0,0.81,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0.57,0,0.57,0,0,0.57,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0
 60-70,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,0,0,0,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0.77,0,0.77,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0
