stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,257.44,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,6,1,3,0,1,0,1,0,0,1,0,0,0,1,1,2,6,0,3,103,1,3,1,0,0,0,0,6,1,6,56,0,0,5,0,1
 24-34,0,0,0,0.82,4.93,0,6.57,0,0.82,0,3.28,0,0,1.64,0,0,0,0.82,0,1.64,10.67,0,2.46,297.15,1.64,41.04,0,0,0,1.64,0,0,0.82,0.82,73.06,0,0,2.46,0,0
 36-46,0,0,0,0,4.03,0,16.92,0,0,0.81,4.03,0,0,3.22,0,0,0,0.81,0,0,14.5,0.81,3.22,615.53,0,33.03,0,0,0,0,0.81,0,0.81,0,128.1,0,0,4.03,0,0.81
 48-58,0,0,0,0,1.72,0,74.02,0,0,1.72,9.18,0,0,0.57,0.57,0.57,0.57,0,0,3.44,18.36,1.15,5.74,678.81,0,25.25,0,0,0,1.15,0,0,0,0,147.47,0,0,1.72,0,2.87
 60-70,0,0,0,0,6.87,0,207.1,0,0,1.96,38.28,0.98,0,0.98,0,0,0,1.96,0,0.98,33.37,0.98,2.94,1315.24,0,25.52,0,0,0,0.98,0,0,0,0,199.25,0.98,0,1.96,0,3.93
 72-82,0,0,3.93,0,3.93,3.93,202.22,0.98,0.98,0.98,78.53,2.94,0,1.96,0.98,1.96,0,1.96,0,0.98,58.9,5.89,4.91,880.55,0.98,40.25,3.93,0,0.98,0,0,0,0,0,84.42,0,0.98,3.93,4.91,4.91
 84-94,0,0,2.12,0,15.93,2.12,124.26,0,0,1.06,72.22,0,0,3.19,0,0,1.06,2.12,1.06,4.25,61.6,2.12,3.19,449.24,1.06,32.92,0,0,0,3.19,0,0,0,0,41.42,0,3.19,10.62,1.06,1.06
 96-106,0,0,5.46,0,13.11,3.28,119.12,0,0,3.28,79.78,4.37,0,1.09,2.19,1.09,3.28,0,2.19,1.09,64.48,7.65,7.65,380.31,2.19,66.66,1.09,0,4.37,3.28,0,0,0,0,24.04,0,1.09,4.37,3.28,4.37
108-118,0,0,4.6,0,12.26,0,85.02,0,2.3,3.06,72,3.06,0,1.53,0.77,0.77,3.06,0,0,0.77,68.17,7.66,7.66,412.85,4.6,35.23,0,0,4.6,0.77,0,0,0.77,0,16.85,0.77,0.77,8.43,3.06,2.3
120,0,0,1.96,0,7.84,0,58.79,0,1.96,3.92,47.03,1.96,0,0,0,0,0,0,1.96,0,43.12,1.96,7.84,313.57,3.92,21.56,1.96,0,5.88,0,0,0,1.96,0,11.76,0,0,3.92,1.96,1.96
