stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,3,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,10.67,0,0,0,0.82,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0,1.61,0.81,8.86,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,3.44,0,0,0,0,0,0,0,1.72,0.57,2.87,0,0.57,0,1.15,0,0,0.57,0.57,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,7.85,0.98,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0.98,0,0,0,0,0,0,1.96,0,7.85,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,2.12,0,1.06,0,0,1.06,0,1.06,1.06,0,0,0,0,2.12,1.06,0,0,1.06,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,1.09,1.09,0,0,1.09,2.19,0,6.56,0,1.09,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0,1.53,0,0.77,0,2.3,0,2.3,0.77,0,0,0,0.77,0,0.77,0.77,0
120,0,0,0,3.92,3.92,0,0,1.96,0,0,0,0,1.96,0,7.84,1.96,0,0,0,0,0,0,0,0
