stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,4,0,0,0,0,2,0,3,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0.82,5.75,0,0,0,0,1.64,0.82,0,4.1,2.46,0,0,0,0,0.82,0,0,0.82,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,12.09,0,0,0.81,0,0,0,0,0,0,0,0,0,13.7,0,0,4.83,15.31,0.81,0,0,0,0,0,0,0,4.03,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,73.45,0,0.57,4.02,2.3,0,0,0,0,0,0,0,0,21.8,0,1.15,8.03,26.97,0,0.57,0,0,0,0,0.57,0,2.3,0,0.57,0,0,0
 60-70,0,0,0.98,0,0.98,0,214.95,0,0,9.82,0.98,0.98,0,0.98,0,0,0,0,0,56.93,0.98,0.98,1.96,29.45,0,0,0,0,0,0,0,0,0.98,0,0.98,1.96,0.98,0
 72-82,0,0,1.96,0,3.93,1.96,519.3,0.98,0,3.93,13.74,0,0.98,0.98,0,0,0,0.98,0,65.77,0,4.91,4.91,60.86,0,0,0.98,0,0,0,0,0,0.98,0,2.94,1.96,8.83,0
 84-94,0,0,0,0,3.19,0,268.7,0,3.19,4.25,14.87,2.12,0,0,1.06,0,0,0,0,58.41,0,5.31,3.19,48.85,0,0,0,0,0,0,0,0,0,0,4.25,1.06,9.56,0
 96-106,0,0,0,0,5.46,2.19,292.88,1.09,0,4.37,14.21,0,0,1.09,1.09,1.09,1.09,1.09,0,44.81,0,6.56,4.37,44.81,0,0,1.09,0,0,0,0,0,0,0,2.19,1.09,7.65,1.09
108-118,0,0,0.77,0.77,1.53,0,206.81,0,0.77,0,8.43,3.83,0.77,0,0,0,0,0.77,0,39.06,0,3.06,1.53,41.36,0,0,2.3,0,1.53,0,0,0,1.53,0.77,1.53,0.77,3.83,0
120,0,0,1.96,0,0,0,121.51,0,0,1.96,9.8,0,0,1.96,0,0,1.96,0,0,39.2,0,3.92,1.96,60.75,0,0,0,0,0,0,0,0,1.96,0,0,0,7.84,0
