stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,13.14,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,15.73,18.88,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,5,12,1,0,0,0,0,7,1,0,1,9,0,0,0,0,0
 24-34,0,0,0,4.93,0.82,0,5.75,0,3.28,0,2.46,0,0,0.82,0,1.64,0,0.82,4.1,0,8.21,1.64,0,9.03,68.13,5.75,7.39,2.46,0,0,10.67,0,1.64,1.64,20.52,0,0,4.1,0,0
 36-46,0,0,0,4.83,0.81,0,8.86,0.81,0,2.42,3.22,0,0,2.42,0,0,0,0,0,0,9.67,2.42,0,4.03,97.49,3.22,6.45,0,0,0,16.11,0,0,0,22.56,0,0,1.61,0,0.81
 48-58,0,0,0,2.87,0,0,26.4,0,1.72,4.02,6.89,0,0,1.15,0,0.57,0,0,0,0.57,30.99,2.3,0,2.87,116.48,2.87,2.3,1.72,0,0,7.46,0,0,0,33.28,0,0,1.15,0,1.15
 60-70,0,0,0,2.94,0.98,0,50.06,0.98,0,3.93,9.82,0,0,0,0,0,0.98,0,0,1.96,46.13,1.96,0.98,0,185.51,2.94,3.93,0.98,0,0.98,7.85,0,0.98,0,30.43,0,1.96,1.96,0,0.98
 72-82,0,0,0.98,7.85,14.72,0,67.73,0,0,1.96,13.74,2.94,0,0,0.98,0,0.98,2.94,0.98,0,80.5,0.98,2.94,1.96,201.24,0.98,3.93,3.93,0,0,5.89,0,0,0,17.67,0.98,0.98,1.96,0.98,1.96
 84-94,0,0,2.12,13.81,7.43,0,43.54,0,0,3.19,13.81,9.56,0,1.06,3.19,0,2.12,1.06,1.06,0,47.79,7.43,0,1.06,89.21,5.31,0,3.19,0,0,19.12,0,1.06,0,15.93,0,1.06,3.19,5.31,3.19
 96-106,0,0,0,7.65,3.28,1.09,34.97,2.19,2.19,1.09,12.02,9.84,0,0,6.56,2.19,0,2.19,0,0,38.25,3.28,1.09,0,85.24,0,6.56,2.19,0,2.19,17.49,0,0,0,6.56,1.09,2.19,5.46,4.37,0
108-118,0,0,1.53,11.49,5.36,6.13,30.64,0.77,3.83,0,14.55,6.13,0,0,3.06,1.53,2.3,3.06,1.53,0,26.04,0,1.53,2.3,97.28,0.77,2.3,1.53,0,0,13.02,0,0,0,3.83,0,1.53,2.3,2.3,0
120,0,0,0,9.8,1.96,1.96,27.44,0,0,1.96,13.72,11.76,0,0,1.96,0,0,1.96,1.96,0,17.64,1.96,1.96,3.92,131.31,1.96,3.92,0,0,1.96,15.68,0,0,0,7.84,1.96,0,3.92,1.96,0
