stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,5.26,0,0,15.77,0,0,0,13.14,0,0,0,0,0,0,92,7.89,0,0,47.32,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,169.94,15.73,0,0,84.97,0,3.15,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21,0,0,0,2,1,1,0,1,18,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,4.1,0,0,4.1,40.22,0,0,0.82,0,3.28,0,0,0.82,9.03,1.64,0,0
 36-46,0,0,0,0,0,13.7,0,0,0,0,0,0,8.06,0,0,0,65.26,0,0,0,0,0.81,0,0,0,15.31,0.81,0,0
 48-58,0,0,0,0,0,10.33,0,2.3,0,0,0,0.57,5.74,0,0,0.57,61.97,0,0.57,0,0,2.3,0,0,0,12.05,0,0,0.57
 60-70,0,0,0,0,0,18.65,0.98,0.98,0,0,0,0,4.91,0.98,0.98,0.98,58.89,0,0,0,0,0,0,0,0,7.85,0.98,0,0.98
 72-82,0,0,0,1.96,0,10.8,0,3.93,0,0,0,0,7.85,0,0.98,0,53.99,0,0,0,0,0,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,2.12,0,15.93,1.06,3.19,1.06,0,4.25,0,5.31,1.06,0,1.06,36.11,0,0,0,0,1.06,0,0,0,4.25,0,1.06,1.06
 96-106,0,0,0,3.28,0,7.65,0,4.37,0,0,0,1.09,4.37,0,0,1.09,17.49,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,6.89,0,1.53,0.77,0,0,0,6.13,0,0,0.77,19.92,0,0.77,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,1.96,0,0,1.96,0,3.92,0,1.96,0,19.6,0,0,0,0,0,0,0,0,1.96,0,0,0
