stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,435.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,13.14,36.8,0,2.63,141.95,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,641.41,23.66,0,0,205.04,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,34.62,0,12.59,135.32,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,789.89,34.62,0,0,308.4,0,0,0,0,28.32,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,16,9,19,0,1,0,2,0,0,2,0,0,0,0,26,0,13,240,5,0,2,5,0,0,0,18,1,4,50,72,0,0,0,0,0
 24-34,0.82,0,0.82,5.75,1.64,32.83,0.82,0,0.82,6.57,0,0,2.46,0,0.82,0,0,38.58,0,17.24,317.67,0,2.46,2.46,0,0,2.46,0,0,0.82,0.82,13.95,78.8,0,0,8.21,0,0
 36-46,0,0,0.81,3.22,0,75.73,3.22,0,1.61,18.53,0,0,1.61,0,0.81,0.81,0,40.28,0.81,13.7,335.16,0.81,3.22,1.61,0,0,0.81,0,0,0,0,0,82.98,0,0,4.83,0,1.61
 48-58,0,0,0,1.72,0,141.73,2.3,0,1.15,21.8,0,0,0.57,0,0,0,0.57,45.9,3.44,10.33,281.74,0.57,1.72,0.57,0,0,0,0,0,0,0.57,0,39.59,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,170.78,1.96,0,3.93,17.67,0,0,0,0,0,0.98,0,35.33,2.94,6.87,251.27,0,2.94,0.98,0,0,0,0,0,0,0.98,0,22.58,0,0.98,0,0.98,0
 72-82,0,0,0,1.96,1.96,220.87,2.94,0,3.93,15.71,0,0,0,0.98,0,0.98,0.98,48.1,2.94,5.89,251.31,1.96,1.96,1.96,0,0.98,0.98,0,0,0,0.98,0,19.63,0,4.91,2.94,2.94,0.98
 84-94,0,0,0,3.19,2.12,127.44,1.06,2.12,0,21.24,1.06,0,1.06,1.06,1.06,1.06,1.06,28.68,4.25,7.43,138.06,1.06,0,1.06,0,0,2.12,0,0,0,0,0,9.56,0,2.12,2.12,3.19,1.06
 96-106,0,0,0,6.56,1.09,65.57,1.09,0,1.09,18.58,1.09,0,1.09,4.37,0,1.09,0,41.53,0,5.46,108.19,0,1.09,3.28,0,0,1.09,0,0,0,1.09,0,4.37,0,1.09,4.37,3.28,1.09
108-118,0,0,0,3.83,1.53,53.62,0.77,0,2.3,11.49,0,0,0.77,0,0,0,0,30.64,0.77,6.13,81.19,0,0.77,2.3,0,1.53,0,0,0,0,1.53,0,2.3,0.77,1.53,2.3,1.53,0
120,0,0,0,7.84,1.96,47.03,3.92,0,0,13.72,0,0,1.96,1.96,0,0,0,33.32,0,1.96,111.71,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,1.96,5.88,0
