stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,2,0,1,0,0,0,0,0,1,0,0,1,0,10,0,1,6,0,0,0,0,1,0,0,2,0,0,0
 24-34,0,2.46,2.46,0,1.64,0,0,0,0.82,0,0.82,0,0,0.82,0,21.34,0,4.1,6.57,31.19,0,0,0,0,0,0.82,4.93,0,0,3.28
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,1.61,3.22,31.42,0,0,0,0,1.61,0,2.42,0,0,7.25
 48-58,0,0,0,0.57,0.57,0,0,1.15,0,0,0,0,0,0,2.3,10.33,0,0,6.31,11.48,0,0,0,0,4.02,0,1.15,0,0,17.79
 60-70,0,0,0,0,5.89,0,0.98,0.98,0,0,0,0,0,0.98,0.98,6.87,0,0,40.24,7.85,0,0,0,0,2.94,0,0,0,0,11.78
 72-82,0,0,0.98,0,4.91,0,0.98,0,0,0,0,0,0,1.96,2.94,12.76,0,0,91.29,3.93,0,0,0,0,5.89,0,0.98,0,0.98,5.89
 84-94,0,0,0,0,6.37,0,2.12,1.06,1.06,0,0,0,2.12,2.12,1.06,10.62,2.12,0,60.54,9.56,0,0,0,0,8.5,0,0,0,0,4.25
 96-106,0,0,2.19,0,6.56,1.09,0,3.28,0,0,0,1.09,0,4.37,3.28,8.74,0,0,74.31,8.74,1.09,0,0,0,9.84,0,0,1.09,0,3.28
108-118,0,0,0.77,0.77,6.89,0,0,3.06,0,0,0,0,2.3,4.6,3.83,7.66,0,0,61.28,9.96,0.77,0.77,0,0,4.6,0,0,0,0,2.3
120,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,1.96,3.92,0,0,60.75,5.88,0,0,0,0,1.96,0,1.96,0,0,0
