stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,61.3,6.13,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,28.92,0,0,0,5.26,0,0,0,0,113.03,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,40.91,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,283.23,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,7,92,32,3,0,3,1,0,1,11,6,0,0,0,0,3,0,24,0,0,4,305,2,0,1,0,0,0,4,3,31,0,0,0,0
 24-34,0,0,9.85,51.71,6.57,0.82,0,5.75,0,0,2.46,8.21,0,0,0,0.82,0,8.21,0,9.85,0,0,0.82,88.65,0,0.82,0.82,0,0,2.46,0,2.46,14.78,0,2.46,0,0.82
 36-46,0,0,8.86,5.64,4.03,0,0,2.42,0,0,1.61,5.64,0,0,0,0,0,3.22,0,3.22,0,0,0,32.23,0.81,0,0,0,0,1.61,0,0,11.28,0,0.81,0,0
 48-58,0,0,4.59,0.57,2.87,0,0,21.8,0.57,0.57,3.44,1.15,0,0,0,0,1.15,0,0,8.61,0,0,1.72,60.25,0.57,1.15,0,0,0,1.15,0,0,12.05,0,1.72,0,2.3
 60-70,0,0,4.91,0,0.98,0,0,24.54,0,0.98,5.89,0.98,0,0.98,0,0,0,0,0.98,7.85,0.98,0,2.94,70.67,0,0,0,0,0,0.98,0,0,9.82,0,2.94,0,0
 72-82,0,0,11.78,0,0.98,0,0,15.71,0,1.96,5.89,1.96,0,0,0,0,0,0.98,0,3.93,0,0,0,53.01,0,0,0,0,0,1.96,0,0,3.93,0,0.98,0,0
 84-94,0,0,16.99,0,2.12,0,0,11.68,0,0,3.19,12.74,0,0,1.06,1.06,0,0,0,6.37,0,1.06,0,23.36,0,0,0,0,0,2.12,0,0,2.12,0,1.06,1.06,0
 96-106,0,0,15.3,0,4.37,5.46,1.09,25.14,3.28,0,3.28,7.65,0,1.09,1.09,0,0,3.28,0,16.39,0,3.28,2.19,50.27,0,2.19,1.09,0,1.09,12.02,0,0,1.09,0,7.65,1.09,2.19
108-118,0,0,11.49,0,7.66,1.53,1.53,21.45,0.77,0.77,4.6,3.83,0,0,0.77,0.77,0,0,0,19.92,0,0.77,0.77,36,2.3,0.77,0.77,0,0.77,8.43,0,0,2.3,1.53,0.77,0,1.53
120,0,0,13.72,0,5.88,3.92,0,17.64,0,0,1.96,3.92,0,0,3.92,1.96,0,1.96,0,5.88,0,3.92,1.96,52.91,0,0,0,0,0,0,0,0,0,0,0,0,0
