stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,1.64,0,0,7.39,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,7.39,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,9.67,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,13.77,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,4.02,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,273.84,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,13.74,0,0,3.93,23.56,0,0,0,0,0.98,2.94,0,0.98,0,4.91,0,0.98,0,0,2.94
 72-82,0,0,1.96,0,26.5,22.58,0,1214.32,4.91,4.91,6.87,56.94,4.91,0,2.94,4.91,1.96,1.96,2.94,5.89,3.93,114.85,1.96,2.94,11.78,313.15,2.94,4.91,4.91,0,0,25.52,0,2.94,0,34.36,1.96,3.93,17.67,7.85,7.85
 84-94,0,0,1.06,0,35.05,11.68,0,1264.89,1.06,1.06,3.19,21.24,3.19,0,0,6.37,2.12,1.06,1.06,2.12,0,52.04,4.25,4.25,6.37,107.27,3.19,3.19,2.12,0,0,14.87,0,1.06,0,10.62,0,1.06,6.37,1.06,0
 96-106,0,0,1.09,0,33.88,26.23,1.09,1126.73,3.28,5.46,9.84,33.88,3.28,0,3.28,6.56,6.56,6.56,3.28,9.84,0,99.45,5.46,2.19,5.46,175.95,0,7.65,6.56,0,1.09,51.36,0,1.09,2.19,7.65,2.19,4.37,10.93,2.19,3.28
108-118,1.53,0,0,0,27.57,13.79,1.53,846.39,1.53,6.13,5.36,30.64,2.3,0,0.77,8.43,5.36,3.06,1.53,8.43,1.53,96.51,2.3,5.36,12.26,251.24,1.53,3.06,4.6,0,0,25.28,0,0.77,0,3.83,2.3,2.3,13.79,3.83,2.3
120,0,0,0,0,35.28,17.64,0,1072,1.96,1.96,0,33.32,9.8,1.96,3.92,9.8,7.84,5.88,3.92,7.84,0,76.43,0,1.96,11.76,201.86,1.96,7.84,1.96,1.96,1.96,19.6,0,1.96,0,19.6,1.96,3.92,9.8,0,1.96
