stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,62.94,0,0,3.15,0,3.15,0,25.18,0,0,0,0,0,0
 14-21,0,0,0,3,35,6,0,6,0,0,0,3,0,1,0,0,4,0,1,0,10,0,0,15,65,4,3,1,1,0,6,2,49,8,312,990,22,0,0,1,0,0
 24-34,0,0,0,0.82,18.88,0.82,0,8.21,33.66,0.82,0,1.64,1.64,0,0.82,1.64,13.13,0,0.82,0,17.24,0.82,0.82,24.63,67.31,4.1,0.82,5.75,0,0,38.58,0,1.64,9.03,114.1,365.28,27.91,0,0,4.93,0,0
 36-46,0,0,0,0.81,5.64,0,0,14.5,45.12,0,0.81,6.45,0.81,0.81,0,5.64,2.42,0,0,1.61,17.72,3.22,0.81,21.75,42.7,2.42,2.42,4.83,0,0,47.53,0,0,5.64,45.92,18.53,8.86,0,0,3.22,0,0
 48-58,0,0,0,0,2.87,0,0,24.1,19.51,0.57,0.57,7.46,0,10.33,0.57,4.02,1.72,0.57,2.3,1.15,18.36,0.57,0,23.53,26.97,3.44,0.57,3.44,0,0,41.89,0,0,3.44,28.12,0,5.16,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,0,48.09,24.54,1.96,0.98,23.56,0,4.91,0,14.72,0,0,1.96,0,34.35,0.98,0,22.58,24.54,0.98,0,4.91,0.98,0,68.71,0,0.98,3.93,17.67,0,3.93,0,0,0,0,0.98
 72-82,0,0,1.96,0,8.83,3.93,0,27.49,19.63,3.93,0.98,58.9,9.82,6.87,1.96,23.56,10.8,0,0.98,5.89,64.79,7.85,0,36.32,33.38,4.91,2.94,7.85,0,0.98,75.59,0,0,11.78,10.8,0,6.87,0,0.98,1.96,0,0
 84-94,0,0,0,0,35.05,6.37,0,29.74,26.55,4.25,0,39.3,14.87,10.62,0,37.17,13.81,0,6.37,13.81,27.61,1.06,1.06,38.23,26.55,2.12,1.06,7.43,0,0,220.9,0,0,10.62,24.43,0,7.43,1.06,1.06,3.19,0,0
 96-106,0,0,3.28,0,61.2,7.65,4.37,36.06,28.41,7.65,0,64.48,28.41,0,2.19,42.62,19.67,2.19,14.21,15.3,81.96,17.49,2.19,50.27,56.83,4.37,3.28,9.84,0,0,202.18,0,0,13.11,16.39,0,5.46,4.37,2.19,3.28,1.09,1.09
108-118,0,0,0.77,0,46.72,4.6,9.96,19.15,48.26,9.96,1.53,52.09,30.64,0,0,52.09,13.79,0,12.26,37.53,77.36,9.96,0.77,74.3,54.38,9.96,2.3,13.02,0,0,229.79,0,0,21.45,26.81,0,4.6,5.36,0,6.13,0,0
120,1.96,0,1.96,0,66.63,7.84,3.92,23.52,43.12,11.76,1.96,47.03,41.16,0,0,27.44,21.56,0,1.96,17.64,64.67,5.88,0,72.51,47.03,13.72,9.8,9.8,0,0,180.3,0,0,15.68,9.8,0,3.92,1.96,0,7.84,0,0
