stage,blastomeres,eye,fast_muscle,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,pericytes,periderm,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,11.28,0.81,0,3.22,0,0,0,0,0
 48-58,0,0.57,0,0,7.46,0.57,0,4.59,0.57,0,0.57,0,0
 60-70,0,0.98,0,0.98,4.91,0,0,15.7,0,0,0,0.98,0
 72-82,0,3.93,0.98,0,3.93,5.89,0,34.36,0,0,0,0,0
 84-94,0,2.12,0,0,12.74,2.12,0,25.49,0,1.06,0,0,0
 96-106,0,2.19,1.09,1.09,1.09,1.09,1.09,12.02,0,0,0,0,1.09
108-118,0,0.77,0,0.77,6.89,1.53,0,26.04,0,0,0,0.77,0.77
120,0,3.92,0,0,3.92,1.96,0,19.6,0,0,0,0,0
