stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,100.7,6.29,0,31.47,0,0,0,0,0,0,0,0,0
 14-21,1,0,2,6,2,6,0,0,16,4,0,0,0,0,6,0,2,109,3,0,3,0,5,4,1,3,78,0,0,0
 24-34,0,0,0,0.82,0,4.93,0.82,0,18.88,0,0,0,0.82,0,9.85,0,5.75,95.22,1.64,1.64,0,0,0,1.64,0,0.82,54.18,0,1.64,0
 36-46,0,0,0,0,0,3.22,0,1.61,9.67,0,0.81,0.81,0,0,22.56,0.81,0.81,41.89,0,0.81,0,0,0,0,0,0,33.03,0,1.61,0
 48-58,0,0,0,0,0,1.15,0,0,5.16,0,0,0,0,0,10.33,1.15,1.72,10.33,0,0,0,0.57,0,0,0,0,6.31,0,0,0
 60-70,0,0,0,0,0,0,0,0,6.87,0,0,0.98,0,0,5.89,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,7.85,0,0,0.98,0,0.98,9.82,0.98,0,6.87,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,1.06,0,2.12,0,2.12,5.31,0,0,0,0,0,12.74,3.19,0,1.06,0,2.12,0,0,0,0,0,0,5.31,1.06,0,0
 96-106,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0,0,5.46,0,0,5.46,0,5.46,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0.77,0,0,6.89,0,1.53,3.06,0,0,0,0,0,0,0,0,3.06,0,1.53,0.77
120,0,0,0,0,1.96,1.96,0,1.96,3.92,0,0,1.96,0,0,7.84,0,1.96,3.92,0,1.96,0,0,0,0,0,0,3.92,1.96,0,0
