stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0
 24-34,13.13,0,0,2.46,0,0,0,0,0,0,0,0,0,0.82,4.1,0,0,8.21,0,0,0.82,0,0,0
 36-46,14.5,0,1.61,4.83,0,0,0,0,0,0,1.61,0,0,0,1.61,0,0,4.03,0,0,0.81,0,0,0
 48-58,9.75,0,0,4.59,0.57,0,0,0.57,0,0,1.72,0,0.57,0.57,5.16,0,0,1.72,0,0,0,0,1.72,0.57
 60-70,11.78,0.98,0.98,10.8,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,2.94,0.98,0,0,0,0.98,0
 72-82,23.56,1.96,1.96,11.78,0,0,0,1.96,0,0,3.93,0,0,0,1.96,0,0.98,2.94,0,0,1.96,0,5.89,0
 84-94,28.68,1.06,0,16.99,0,2.12,0,1.06,1.06,0,4.25,0,0,0,2.12,0,0,6.37,0,0,0,0,1.06,0
 96-106,45.9,0,0,20.76,0,8.74,1.09,2.19,2.19,4.37,3.28,1.09,0,0,7.65,1.09,1.09,4.37,0,0,0,1.09,3.28,0
108-118,56.68,0,0.77,32.17,0,6.13,0,0,2.3,3.06,4.6,0,0,0,5.36,0.77,1.53,9.96,0,0,0,0.77,2.3,0
120,45.08,0,0,21.56,0,17.64,0,5.88,3.92,7.84,3.92,0,0,1.96,9.8,1.96,1.96,3.92,0,0,0,0,0,0
