stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,97.26,0,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,144.76,0,0,0,53.5,3.15,0,12.59,0,0,0,0
 14-21,0,0,1,6,2,7,0,1,0,0,0,0,0,0,0,3,0,2,87,1,0,0,4,9,3,0,1,4,30,1
 24-34,0,0,0,0.82,0,11.49,0.82,0.82,0,0,0,0.82,0,0,0,1.64,0,0.82,49.25,0,0,0.82,0,7.39,0,0.82,0,0,9.85,0.82
 36-46,0,0,0,0.81,0,15.31,0,0.81,0.81,0,0,0,0,0,0.81,0.81,0,0,30.62,0,0,1.61,0,2.42,0,0,0,0,15.31,0
 48-58,0,0,0,0.57,0,20.08,0,1.72,1.15,0,0,0,0,0,0,0.57,0.57,0.57,15.49,0,0,0,0,1.15,0,0,0.57,0,5.16,0
 60-70,0,0,0,1.96,0,1.96,0,2.94,0,0,0.98,0,0.98,0,0.98,0,0,0,4.91,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,2.94,0,0.98,0.98,0,0.98,0,0,0.98,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,6.37,0,2.12,1.06,0,0,0,0,0,0,2.12,0,0,4.25,0,2.12,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,4.37,0,3.28,0,1.09,1.09,0,0,0,0,0,0,2.19,0,0,5.46,1.09,0,1.09,0,3.28,0,0,0,0,0,0
108-118,0,0,0,3.83,0,7.66,0,2.3,0,0,0.77,0,0,0.77,0.77,0.77,0,0,6.89,0,0,2.3,0,2.3,0,0,2.3,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,5.88,0,0,0,1.96,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,1.96
