stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,34,8,0,7,15,0,0,2,9,0,0,0,0,1,0,103,0,0,26,33,2,0,0,217,0,0,65,1,0,7,10,0,0,0,0,2
 24-34,0.82,0,0.82,7.39,1.64,0,13.13,48.43,1.64,6.57,0,3.28,0,0,0.82,0,4.1,0.82,56.64,0,2.46,13.95,40.22,2.46,0,4.1,0,1.64,0,0,0,0,9.03,9.03,0,0,0.82,0,2.46
 36-46,0,0,0,3.22,0,0,17.72,35.45,14.5,29,1.61,7.25,0,0,0,0,0,0,78.96,0.81,23.36,17.72,47.53,0.81,0.81,2.42,0,1.61,0.81,0,0.81,0,0,5.64,0,0,1.61,0,0.81
 48-58,0,0,0,1.72,0.57,0,24.1,29.26,37.87,63.69,2.3,4.59,0,0,1.15,1.15,1.72,0,182.47,0.57,30.41,20.66,47.63,1.15,0,3.44,0,2.3,0,0,0,0,0,2.87,0,1.15,1.15,0,0
 60-70,0,0.98,0,0.98,0,0,7.85,36.32,52.02,44.17,0,0.98,0,0.98,0,1.96,0.98,0,249.31,0,28.46,1.96,36.32,0,0,2.94,0,4.91,0,0,0.98,0,0,1.96,0.98,10.8,1.96,2.94,0
 72-82,0,0,0,3.93,1.96,0,22.58,16.69,75.59,35.34,0.98,1.96,0,1.96,0,4.91,1.96,0,415.24,0,27.49,16.69,42.21,0,0,7.85,0,7.85,0.98,0,2.94,0,0,0,0,11.78,5.89,14.72,0
 84-94,0,0,0,4.25,0,0,31.86,20.18,62.66,36.11,0,0,0,4.25,0,7.43,0,0,289.94,0,38.23,7.43,25.49,0,0,13.81,0,2.12,0,0,1.06,1.06,0,0,0,8.5,6.37,7.43,0
 96-106,0,0,1.09,4.37,0,0,25.14,18.58,51.36,31.69,5.46,5.46,0,1.09,0,12.02,0,0,338.78,0,10.93,6.56,37.16,1.09,0,22.95,0,17.49,0,0,1.09,0,0,2.19,0,7.65,12.02,17.49,0
108-118,0,0.77,0,3.06,0,0.77,16.85,20.68,65.87,14.55,4.6,1.53,0.77,0,0,8.43,1.53,0,255.07,0.77,16.09,6.89,29.87,0,0,10.72,0,11.49,0,0,0.77,0,0,0.77,1.53,1.53,2.3,13.02,0.77
120,0,0,0,3.92,1.96,1.96,5.88,21.56,47.03,13.72,0,0,1.96,1.96,0,7.84,0,0,217.54,0,13.72,3.92,39.2,0,0,17.64,0,11.76,0,0,1.96,0,0,0,1.96,3.92,0,11.76,0
