stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,5,0,4,0,0,2,1,0,0,0,0,0,0,0,0,8,0,0,3,56,1,0,0,0,0,0,1,8,1,2,9,23,0,0
 24-34,0,0,0,1.64,0.82,0,12.31,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,4.93,0,0,3.28,75.52,0.82,0,0,0,0,4.1,0,0,0,0,0.82,14.78,1.64,0
 36-46,0,0,0,0.81,0,0,13.7,0,0,4.03,0,0,0.81,0,0,0,0,0,0,12.89,0.81,0,2.42,45.92,0,0,0,0,0,1.61,0,0,0,0,0,16.11,1.61,0.81
 48-58,0,0,0,1.72,0,0,23.53,0,0,2.3,0,0,0,0,0,0,0,0,0,7.46,0,0,0.57,40.74,0.57,0.57,0.57,0,0,0.57,0,0,0,0,0,7.46,1.15,0
 60-70,0,0,0,0,0,0,15.7,0,0,5.89,0,0,0,0,0,0.98,0,0,0,12.76,0,0,0.98,39.26,0,0,0,0,0,0.98,0,0,0,0,0,11.78,0.98,0
 72-82,0,0,0,1.96,1.96,0,11.78,0,0.98,0.98,0.98,0,0,0,0,0,0,0.98,0,11.78,0,0,0,26.5,0,0,0.98,0,0,0,0,0,0,0,0,2.94,0.98,0
 84-94,0,0,0,2.12,1.06,0,11.68,1.06,0,6.37,0,0,0,1.06,1.06,0,1.06,0,0,10.62,1.06,0,1.06,13.81,0,1.06,0,0,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,8.74,1.09,0,4.37,1.09,1.09,0,2.19,1.09,0,0,0,2.19,6.56,0,0,2.19,21.86,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,4.6,0,0,0.77,0,0,0,0,0,0,0,0,0.77,6.89,0,1.53,2.3,7.66,0,0.77,0.77,0,0.77,1.53,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,1.96,11.76,1.96,0,1.96,0,0,0,0,0,0,0,0,0,7.84,1.96,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
