stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,9,0,0
 24-34,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0,2.46,0,0,0,0.82,18.88,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,0,1.61,0,3.22,0,0.81,0,0,0,0,1.61,0,0,0.81,0,8.86,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0.57,0,0.57,0.57,0,0,1.15,0,0,0,3.44,0,0.57,0,0,5.16,0,1.72
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0.98,4.91,0,7.85
 72-82,4.91,0,0,0,0,0.98,0,0,0,0.98,6.87,0,0,1.96,0.98,0,0,1.96,0,0,0,1.96,0,0,0,0,20.61,0.98,17.67
 84-94,3.19,0,0,0,0,3.19,0,0,0,0,13.81,0,0,3.19,4.25,0,0,1.06,0,1.06,0,3.19,0,2.12,6.37,0,22.3,0,16.99
 96-106,5.46,0,3.28,0,1.09,3.28,0,2.19,0,2.19,28.41,0,2.19,4.37,3.28,2.19,2.19,0,1.09,0,2.19,8.74,0,7.65,6.56,0,38.25,2.19,32.79
108-118,5.36,0,6.13,0.77,0.77,2.3,0.77,0,0.77,0,30.64,0,0.77,3.06,3.06,0.77,0.77,3.06,0.77,0,0.77,6.89,0.77,4.6,6.13,0,19.15,0,36.77
120,5.88,0,0,0,1.96,5.88,0,0,0,1.96,76.43,0,0,7.84,5.88,0,1.96,0,1.96,0,1.96,5.88,0,3.92,9.8,0,17.64,0,9.8
