stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.85,0,0,0,0,0
  7-9,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,47.32,0,0,5.26,15.77,2.63,0,0,0,0
 10-12,0,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,46,2,0,0,3,0,0,4,0,0,0,0,0,4,1,9,0,36,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,0,0,0,0,2.46,0,0,0,0,0,4.1,0.82,1.64,0,21.34,0,0,0,0,0
 36-46,0,0,0,8.06,0,0,0,2.42,0,0,0,0,0.81,0,0,0,12.89,2.42,1.61,0,16.92,0,0,1.61,0,0
 48-58,0,0,0.57,2.3,0.57,0,0,0,0.57,0,0.57,0,0.57,0.57,0,0.57,6.31,0,1.15,0,5.16,0,0,0.57,0,0
 60-70,0,0,0,4.91,0.98,0.98,0,1.96,0,0,0.98,0,0,0,0,0.98,12.76,0.98,3.93,0,13.74,0,0.98,0.98,0.98,0
 72-82,0,0.98,0,13.74,0,0.98,0,5.89,0,0,2.94,0,1.96,0,0,2.94,2.94,2.94,10.8,0,14.72,0,0,0.98,2.94,0
 84-94,0,0,0,26.55,1.06,1.06,2.12,23.36,0,0,0,0,0,2.12,0,4.25,2.12,5.31,5.31,0,31.86,0,0,0,4.25,0
 96-106,0,1.09,0,15.3,4.37,1.09,3.28,24.04,1.09,1.09,3.28,0,5.46,0,5.46,2.19,3.28,6.56,4.37,0,36.06,0,2.19,0,4.37,0
108-118,0,0,0.77,23.74,2.3,1.53,0,28.34,0.77,0,2.3,0.77,3.06,3.06,0,3.06,6.13,5.36,5.36,0,32.94,0,0,0,13.02,0.77
120,0,0,0,17.64,0,1.96,0,29.4,0,0,3.92,0,3.92,0,0,1.96,1.96,7.84,3.92,0,25.48,0,0,0,11.76,0
