stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0.82,0.82,0
 36-46,0.81,0.81,1.61,0,0,0.81,0,0,0,4.03,0,8.06,0,0,0,0,0,0,0
 48-58,0.57,0,2.3,0,1.15,0,0,0.57,0.57,3.44,0.57,3.44,0,0,0,0,2.87,0,0
 60-70,0.98,0,2.94,0,0,0,0,0,0,5.89,0,3.93,0,0,0,0,0.98,0.98,0
 72-82,0.98,0,0,0,0,1.96,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,2.12,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,1.09,0,0,3.28,0,1.09,0,0,0,0,0,0,0
108-118,0.77,0,0.77,0,0,0,1.53,0,0,0.77,0,0,0.77,0,0,0,0,0,0.77
120,1.96,0,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0
