stage,axial,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,44.06,15.73,0,0,0,0
 14-21,0,0,1,2,0,0,2,1,14,0,2,1,6,0
 24-34,0,0,0,0,0,0,0.82,0,2.46,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0.81,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,1.15,0,1.72,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0,3.93,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
