stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,67.43,1072.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,36.78,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,126.18,2.63,0,0,39.43,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,44.06,0,0,3.15,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,2,2,0,0,11,0,0,0,0,0,0,0,4,0,0,8,1,1,7,0,0,1,0,26,0,36,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,22.16,0,0,0,0,0,1.64,0,2.46,0,0.82,20.52,0,4.1,6.57,0,0,1.64,0,21.34,0.82,29.55,0,0,0,0
 36-46,0,0,0,0.81,0,3.22,0.81,15.31,0,0,0,0,0,1.61,0,3.22,0,1.61,18.53,0,8.06,3.22,0,0,0,0,16.92,0,31.42,0.81,0,0,0
 48-58,0,0,0,0.57,0,6.89,0,13.2,0,0,0,0,0,2.3,0.57,2.3,0,0,10.9,0,7.46,4.59,0,0,0,0,6.31,0,16.07,0,0,0,0.57
 60-70,0,0,0,0,0,10.8,0,15.7,0,0,0.98,0,0,4.91,0,4.91,0.98,1.96,13.74,0,11.78,9.82,0,0,0.98,0,5.89,0,8.83,0.98,0.98,0.98,0
 72-82,0,0,0,0,0,9.82,0.98,12.76,0,0,0,0,0,11.78,0,4.91,0,0,6.87,0,7.85,16.69,0,0.98,0,0,0.98,0,8.83,0,0,0,0
 84-94,0,0,0,0,0,4.25,0,9.56,1.06,0,0,0,0,8.5,0,6.37,2.12,0,2.12,0,5.31,25.49,0,0,1.06,0,8.5,0,6.37,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,10.93,0,0,0,1.09,0,15.3,0,2.19,0,0,3.28,0,10.93,41.53,0,1.09,0,0,5.46,0,5.46,0,0,0,0
108-118,0,0,0,0.77,0,6.13,0,9.96,0,0,0,0,0.77,13.79,0,3.83,0,0,3.83,0,6.89,20.68,0,0,0.77,0,1.53,0,4.6,0.77,0,0,0
120,0,0,0,3.92,0,3.92,1.96,5.88,0,0,0,0,0,15.68,0,7.84,1.96,0,5.88,0,7.84,21.56,0,1.96,0,0,3.92,0,3.92,0,0,0,0
