stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,0,2,12,1,1,2,2,1,0
 24-34,1.64,0,0,0.82,0,0,0,3.28,0,32.01,0,0,0.82,0,6.57,0
 36-46,0.81,0,0,10.47,0.81,0.81,0,4.03,0,16.11,0,0,0,0,3.22,0.81
 48-58,0.57,0,0,10.33,0.57,0,0,0.57,0,9.75,0,0,0,0,1.15,0.57
 60-70,0.98,0.98,0,11.78,0,0,0,0.98,0,8.83,0,0,0,0,0,0
 72-82,0,0,0,5.89,0,0,0,0.98,0,7.85,0,0,0,0,0,0.98
 84-94,0,0,1.06,3.19,3.19,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,5.88,0,0,1.96,0,0,5.88,0,0,0,0,0,0
