stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,0,1.64,6.57,0,0,6.57,0,1.64,0,0,0.82,0,0.82
 36-46,0,0,3.22,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0,0,0,1.61,4.03,0.81,0,16.92,1.61,0.81,4.83,0,5.64,0,0,0.81,0,0
 48-58,0,0.57,1.15,0,0,8.03,0,0,0,2.87,0,0,0,0,0.57,0,0.57,0,0.57,0.57,0,1.72,19.51,2.87,0,1.72,0.57,5.74,0,0,0,0,0
 60-70,0,0,0,0,0,20.61,1.96,0,0,11.78,0,0,0,0,0,0.98,0,0,0,9.82,0,2.94,40.24,2.94,0,3.93,0.98,4.91,0,0.98,0.98,0,0
 72-82,0,0.98,1.96,1.96,0,31.41,1.96,0,0,10.8,0.98,0.98,0.98,2.94,0,0,1.96,0.98,0.98,10.8,0,2.94,34.36,5.89,0,0.98,0,3.93,1.96,0.98,1.96,2.94,0
 84-94,0,0,6.37,1.06,1.06,15.93,1.06,1.06,0,6.37,2.12,0,0,1.06,2.12,1.06,1.06,0,5.31,7.43,0,0,22.3,0,0,11.68,1.06,3.19,0,0,0,1.06,0
 96-106,0,1.09,12.02,1.09,0,13.11,1.09,2.19,0,8.74,6.56,0,1.09,4.37,1.09,1.09,1.09,0,1.09,16.39,0,3.28,18.58,5.46,0,13.11,2.19,2.19,1.09,0,4.37,0,1.09
108-118,0,0,1.53,0.77,0.77,16.85,3.83,0,0.77,8.43,6.89,0,0.77,1.53,0.77,0,1.53,0,0.77,10.72,0,3.06,24.51,2.3,0.77,3.83,1.53,0.77,1.53,0,1.53,0,0.77
120,0,0,1.96,0,1.96,9.8,0,0,0,1.96,1.96,0,0,5.88,0,0,1.96,0,0,3.92,0,1.96,23.52,0,1.96,5.88,0,1.96,0,0,0,1.96,0
