stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,1,8
 24-34,0,0.82,0,0,0,3.28,0,0,0.82,0,0,0,0,4.93,0,0,0,0,4.1,0.82,4.93
 36-46,0,0.81,0,1.61,0,0.81,0,0,0,0,0.81,0,0,3.22,0,0,0,0,4.83,0,0.81
 48-58,0,0.57,0,4.02,0.57,0.57,0,0,0,0.57,0,1.15,0,5.74,0.57,0.57,0,0,0.57,0.57,3.44
 60-70,0,2.94,0,7.85,0.98,0.98,0.98,0,0,0,0,0,1.96,1.96,0,0.98,0,0,1.96,0,1.96
 72-82,0,0,0.98,7.85,0,0.98,0.98,0,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,3.19,0,0,1.06,1.06,0,0,0,3.19,0,2.12,1.06,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,0
108-118,0,1.53,0,2.3,0,1.53,0,0,0,0,0,0,0,2.3,0,0.77,1.53,0,1.53,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,1.96,1.96,0,0,0,1.96,0
