stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.35,5.26,0,0,36.8,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,41.86,0,0,0,0,0,0,0,0,24.63,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,87.82,0,0.81,0,0,0,0,0,0,59.62,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,29.26,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0,90.09,0,0,0,0,0,0,0,0,39.59,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,34.35,0,0,0,0.98,5.89,0,0,0,0,0,4.91,0,1.96,0,0,0.98,86.37,0,0.98,1.96,0,0,0,0,0,36.32,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,24.54,0,0,0,2.94,73.62,0,0,0,1.96,0,1.96,0,13.74,0.98,0,0.98,79.51,0,0,0.98,0,0,0,0,0,9.82,0.98,1.96,0,0.98,0
 84-94,0,0,2.12,0,3.19,3.19,0,18.05,0,1.06,1.06,4.25,197.54,0,3.19,0,0,0,2.12,0,7.43,0,0,3.19,42.48,0,1.06,1.06,0,0,5.31,0,0,9.56,0,0,1.06,0,1.06
 96-106,0,0,7.65,0,16.39,6.56,3.28,52.46,1.09,2.19,3.28,22.95,355.18,0,5.46,1.09,2.19,1.09,5.46,0,44.81,3.28,3.28,5.46,144.26,0,3.28,2.19,0,2.19,36.06,1.09,0,3.28,3.28,3.28,7.65,3.28,4.37
108-118,0,0,3.83,0,16.85,6.13,11.49,63.57,1.53,3.83,4.6,26.04,444.26,1.53,3.83,0.77,3.06,2.3,14.55,0,49.79,2.3,1.53,11.49,222.9,1.53,3.83,2.3,0,1.53,18.38,1.53,0.77,6.13,3.06,2.3,4.6,0.77,1.53
120,1.96,0,0,0,21.56,13.72,3.92,48.99,1.96,9.8,3.92,17.64,358.64,0,9.8,0,0,0,19.6,1.96,47.03,0,1.96,7.84,201.86,7.84,5.88,7.84,0,0,29.4,0,0,0,1.96,0,5.88,0,1.96
