stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,210.85,4269.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0
  5-6,245.19,2231.19,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,18.39,49.04,0,0,0,0,0,0,0
  7-9,0,10.51,7.89,0,0,13.14,0,0,0,5.26,0,0,0,168.24,18.4,0,55.2,2.63,21.03,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,15.73,3.15,0,12.59,3.15,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,1,8,11,1,0,0,1,1,4,3,5,0,2
 24-34,0,0,0,0.82,0,1.64,0.82,0.82,0,0,0,0,0.82,12.31,5.75,1.64,0,22.98,0.82,0,0.82,0,4.1,0,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,12.89,1.61,0,0,16.11,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,3.44,0,0.57,0,0,0,0,2.87,5.74,2.3,0,0,0.57,0,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,4.91,1.96,0,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,2.94,0,1.96,0,0,0.98,0,1.96,7.85,0,0,0,0,0.98,0,0,0,1.96,0.98,0.98
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,1.06,3.19,1.06,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,1.09,0,1.09,1.09,0,6.56,5.46,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0,2.3,0.77,1.53,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0
