stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,361.65,0,0,0,0,0,0,0,0,18.39,12.26,0,12.26,0,0,0,0
  7-9,7.89,2.63,5.26,0,10.51,0,0,7.89,0,0,86.75,2.63,0,23.66,0,0,0,0
 10-12,0,0,6.29,0,6.29,0,0,6.29,0,0,103.85,0,0,47.2,0,3.15,0,0
 14-21,0,0,0,3,1,0,1,0,0,0,5,0,0,0,0,0,1,0
 24-34,0,0,0,0,1.64,0,0.82,0,1.64,0.82,13.13,0,0.82,0,0,0,3.28,0
 36-46,0,0,0,0,3.22,0,0.81,0,1.61,0.81,7.25,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,1.72,0,0,0,1.72,0,2.87,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0
