stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0.57,0,1.72,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0.98,0,0,0,0,5.89,0,3.93,1.96,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,13.81,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,2.19,0,0,3.28,1.09,0,1.09,0,91.8,0,2.19,7.65,0,0,1.09,0,1.09,0,1.09
108-118,0,0.77,0,0.77,2.3,3.06,0.77,0,0.77,236.68,0,1.53,15.32,0.77,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,96.03,0,0,7.84,0,0,1.96,1.96,0,1.96,0
