stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,2.46,24.63,0,0.82,0.82,0,0,0,0,0.82,32.01,0,0,0,0
 36-46,0,0.81,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0,0,0,0,52.37,0.81,3.22,0.81,0,0,0,0,0,35.45,0,0,0,0
 48-58,0,0,0.57,0,0,6.89,0,0,1.15,2.3,0,0.57,0,0,0,0,0,0.57,0,107.3,0,2.3,1.72,0,0,0,0.57,0,36.72,0,0,0,0.57
 60-70,0,0,0.98,0,0,44.17,0,0,1.96,2.94,0,0,0.98,0,0,0.98,0.98,0,0,209.06,0,3.93,5.89,0,0,0,0,0,33.37,0,0,0,0
 72-82,0,0,1.96,0.98,0,50.06,0,0,1.96,5.89,0,0,0,0,0,2.94,0,0.98,0,163.94,0,18.65,13.74,0,0,0,0,0,29.45,0,0.98,0.98,0
 84-94,0,0,1.06,0,0,37.17,0,0,0,2.12,0,4.25,0,0,0,3.19,0,0,1.06,72.22,0,3.19,29.74,0,0,1.06,0,0,15.93,0,4.25,1.06,0
 96-106,0,0,1.09,0,0,29.51,0,0,1.09,2.19,0,2.19,0,3.28,0,0,0,1.09,0,55.74,0,6.56,31.69,0,0,1.09,0,0,5.46,0,1.09,0,0
108-118,0,0,0,0,0.77,23.74,0,0,1.53,2.3,0,0.77,0,1.53,0.77,1.53,0,0,0,75.06,0,7.66,16.85,0,0,0,0,0,4.6,1.53,0.77,0,0
120,0,0,1.96,0,0,25.48,1.96,0,0,7.84,0,1.96,0,0,0,1.96,0,0,0,99.95,0,3.92,13.72,0,3.92,1.96,0,0,3.92,0,0,0,0
