stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,7,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,6,0,0,7,138,14,0,0,0,0,2,0,0,1,137,0,0,0,0,0
 24-34,0.82,0,4.1,1.64,0,9.03,0,0,0,4.1,0,0,0,0,0,0,0,0.82,25.45,0,0,9.85,660.79,5.75,1.64,0.82,0,0.82,0.82,0.82,0,5.75,215.89,0,0,0.82,0,0
 36-46,0.81,0,0.81,1.61,0,52.37,0,0,0,20.14,0,2.42,0,0,0.81,0,0,0.81,24.17,0,5.64,0.81,1683.85,0.81,4.83,0,0,0.81,0,0,0,0,365.77,0,0,0,0,0.81
 48-58,0,0,4.59,0.57,0,239.28,1.15,0,0.57,52.22,0,0.57,0.57,0,0,0,0,1.15,16.07,0,1.15,2.3,2058.24,0.57,2.3,0,0,1.72,0.57,0,0,0,328.22,0,0,0.57,0.57,4.02
 60-70,0,0,4.91,1.96,0,1213.16,0,1.96,0,48.09,0,0,0,0,0.98,0,0,0,25.52,0,0.98,4.91,3232.15,0,1.96,0.98,0,0.98,4.91,0,0,0,372,0,0,1.96,0.98,3.93
 72-82,1.96,0,14.72,5.89,0,1929.95,0,0,0.98,78.53,4.91,1.96,3.93,0,2.94,0,0,0.98,35.34,0,0.98,0.98,2704.48,0.98,3.93,2.94,0,0.98,3.93,0,0,0,203.2,2.94,2.94,3.93,0.98,0
 84-94,0,1.06,28.68,5.31,0,1350.91,0,4.25,2.12,98.77,3.19,0,2.12,0,1.06,1.06,0,9.56,36.11,0,3.19,7.43,1671.65,0,1.06,2.12,0,1.06,11.68,0,1.06,0,142.31,0,3.19,6.37,7.43,2.12
 96-106,2.19,0,29.51,7.65,0,1170.44,0,2.19,1.09,73.22,2.19,5.46,3.28,1.09,4.37,0,3.28,2.19,42.62,1.09,1.09,0,1240.38,2.19,3.28,4.37,0,1.09,6.56,0,0,0,41.53,1.09,2.19,0,4.37,2.19
108-118,2.3,0,17.62,3.06,0.77,829.54,0,0.77,3.83,39.83,1.53,0,3.06,0,2.3,0,1.53,0,25.28,0,3.06,2.3,1298.31,0,2.3,2.3,0,0,2.3,0,0,0,37.53,1.53,1.53,0.77,0.77,5.36
120,0,0,15.68,1.96,0,611.45,0,0,1.96,35.28,0,5.88,1.96,0,1.96,1.96,1.96,1.96,33.32,0,0,0,1252.3,3.92,0,1.96,0,0,1.96,1.96,0,0,39.2,0,1.96,1.96,0,1.96
