stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0,0.82,41.04,0,0,0,0,0.82,2.46,0.82,0,0,0,0,0,13.95,0,5.75,15.6,1.64,3.28,0,0,1.64,2.46,1.64,0,0,0,0
 36-46,0,0,0,0,23.36,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0,10.47,0,4.03,12.89,0,0.81,0,0,0.81,0,1.61,0,1.61,0,0
 48-58,0,0,0,0,26.4,0,0,0,0,0,0,0,0,0,1.15,0,0,7.46,0,1.15,13.2,0,1.72,0,1.15,0,0,2.3,0,0,0,0
 60-70,0,0,0,0.98,22.58,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0.98,9.82,0.98,0,28.46,0,6.87,0,0,0.98,0,4.91,0,0,0,0.98
 72-82,0,0,0.98,0.98,36.32,0.98,0,0.98,6.87,0.98,0.98,1.96,0,0,3.93,0,0,6.87,0,0,71.66,0.98,11.78,0,0,1.96,0,2.94,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,58.41,0,0,0,1.06,2.12,0,0,0,1.06,3.19,0,0,6.37,0,0,26.55,0,10.62,0,0,5.31,0,4.25,0,0,0,0
 96-106,0,0,1.09,0,40.44,0,0,0,2.19,0,0,2.19,1.09,0,14.21,2.19,0,5.46,0,0,20.76,0,9.84,0,0,12.02,0,2.19,0,0,0,0
108-118,0,0,0.77,0,44.43,0,0,0.77,2.3,0,0,0,0,1.53,5.36,0.77,0,3.06,0,0,41.36,0,7.66,0,0,6.89,0,0.77,0.77,0,0,0
120,0,0,0,3.92,21.56,1.96,1.96,0,1.96,1.96,0,0,0,0,3.92,0,0,1.96,0,0,41.16,0,7.84,0,0,1.96,0,3.92,0,0,0,0
