stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.38,4546.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0,0
  5-6,226.8,2390.56,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,24.52,12.26,0,0,36.78,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,34.17,0,49.95,0,0,63.09,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,591.46,68.35,0,0,425.85,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,69.23,0,18.88,34.62,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,283.23,110.14,0,0,276.93,0,3.15,15.73,0,66.09,0,6.29,0,0,0,0,0,0
 14-21,0,1,2,9,56,96,7,2,0,6,11,0,6,0,0,0,0,9,0,120,1,0,88,118,52,0,2,17,0,0,6,63,57,11,67,125,0,0,66,0,0
 24-34,0,0,1.64,0.82,47.61,21.34,22.98,5.75,15.6,8.21,2.46,0,10.67,4.93,16.42,0.82,2.46,7.39,1.64,303.72,0.82,0,214.24,200.29,17.24,2.46,0.82,0,0,1.64,0.82,0,80.44,0.82,44.33,91.94,0,0,214.24,0,2.46
 36-46,0,0,2.42,0,13.7,0.81,19.34,3.22,29.81,8.86,0,0,10.47,19.34,14.5,1.61,0,4.83,3.22,485.82,0.81,8.86,174.83,157.91,5.64,0.81,0,0,0,0,0.81,0,52.37,0,0,55.59,0,1.61,142.6,0.81,4.83
 48-58,0,0,0,0,5.74,2.3,20.08,3.44,35,14.35,0,0,8.61,20.66,7.46,2.3,0,3.44,5.16,530.77,1.15,12.05,103.28,55.66,4.02,1.72,1.72,0,0.57,0,0,0,27.54,0,0,30.41,0,2.87,111.89,0,6.31
 60-70,0,0,0,0,9.82,1.96,24.54,2.94,24.54,7.85,2.94,0,7.85,32.39,11.78,0.98,1.96,0.98,3.93,632.1,0,19.63,64.78,46.13,0.98,0.98,0.98,0,9.82,0,0,0,37.3,0,0,15.7,0,12.76,100.12,3.93,13.74
 72-82,0,0,0.98,0,6.87,2.94,39.27,0,53.01,17.67,18.65,0,7.85,40.25,17.67,0.98,0,2.94,2.94,724.47,0.98,22.58,70.68,41.23,0,3.93,1.96,0,4.91,0,0,0,60.86,0,0,8.83,0.98,24.54,138.41,12.76,6.87
 84-94,0,0,3.19,0,10.62,4.25,40.36,2.12,26.55,5.31,45.67,0,4.25,66.91,29.74,12.74,1.06,2.12,7.43,498.1,0,19.12,42.48,33.99,1.06,1.06,1.06,0,3.19,2.12,0,0,124.26,0,0,2.12,0,13.81,142.31,10.62,10.62
 96-106,0,0,1.09,0,19.67,5.46,28.41,0,17.49,7.65,52.46,0,12.02,64.48,37.16,8.74,0,1.09,12.02,414.19,1.09,12.02,32.79,50.27,2.19,3.28,1.09,0,7.65,6.56,1.09,0,116.93,0,0,5.46,0,8.74,145.35,16.39,14.21
108-118,0,0,1.53,0.77,7.66,2.3,11.49,1.53,13.79,9.19,50.55,0,3.83,45.96,51.32,11.49,0.77,0,8.43,310.22,1.53,10.72,28.34,39.06,1.53,0.77,0.77,0,8.43,1.53,0,0,114.13,0,0,2.3,3.83,6.13,112.6,11.49,15.32
120,0,0,1.96,0,7.84,7.84,9.8,1.96,9.8,3.92,64.67,1.96,5.88,58.79,19.6,11.76,1.96,3.92,3.92,211.66,0,3.92,25.48,37.24,0,0,0,0,5.88,3.92,0,0,68.59,0,0,5.88,0,5.88,96.03,3.92,3.92
