stage,epidermis,eye,fin_epithelia,glial,lateral_line,liver,mesenchyme,neural,notochord,olfactory,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,4,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,5.75,0,1.64,0.82,0,7.39,0.82,0
 36-46,0,0.81,0,0,0,0.81,0,0,0.81,0.81,4.03,0.81,0.81
 48-58,0,0,0,0,0,0,0.57,1.72,0,0,1.72,1.15,0
 60-70,0,0,0,0,0,0,0,2.94,0,0,4.91,0,0
 72-82,0,0.98,0,0.98,0,0,0,2.94,0,0,7.85,0,0
 84-94,0,1.06,0,0,0,0,0,2.12,0,0,15.93,0,0
 96-106,0,0,0,0,0,0,1.09,7.65,0,0,14.21,0,0
108-118,0,0.77,0.77,0,0.77,0,1.53,1.53,0,0,9.19,0,0
120,1.96,3.92,0,0,0,0,5.88,0,0,0,3.92,0,0
