stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,24.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,91.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,10,37,0,2,0,0,0,1,0,0,30,0,1,0,0,72,0,0,15,17,2,0,0,1,0,16,0,1,0,0,62,0,6,0,0
 24-34,0,0,0,17.24,0.82,0,14.78,0,0,0,0,0,0,27.91,0,0,0,0,48.43,0,0.82,3.28,27.09,0,0.82,0,0,0.82,2.46,0,0,0.82,0,141.19,0,32.01,0,0
 36-46,0,0,0,9.67,0,0,22.56,0.81,0,0,4.03,0,0,21.75,0.81,0,0,0.81,87.01,0,9.67,0.81,31.42,0,0.81,0.81,0,0.81,0.81,0,0,0,0,254.59,0.81,7.25,0,0
 48-58,0,0,0,3.44,0,0,45.9,0,0,1.15,3.44,0,0,24.1,0.57,0,0,0,97.55,0.57,6.31,4.02,53.94,0,0.57,0,0,1.15,1.15,0,0,0,0.57,264.52,2.3,2.3,0,0
 60-70,0,0,0,4.91,0,0,39.26,0.98,0,5.89,2.94,0,0,27.48,0.98,0,1.96,0,57.91,0,8.83,0,30.43,0.98,0,0,0,2.94,1.96,0,0,0,0,152.14,10.8,1.96,0.98,0
 72-82,0,0,0,3.93,0,0,40.25,0,0,12.76,3.93,0,0,27.49,0,0,0,0.98,52.03,0,12.76,0,41.23,0,0,0,0,4.91,0.98,0,0,0,0,105.04,20.61,8.83,0.98,0
 84-94,0,0,0,3.19,1.06,0,52.04,0,0,15.93,8.5,0,0,23.36,1.06,0,1.06,0,52.04,0,14.87,0,16.99,0,0,2.12,0,1.06,2.12,0,0,0,0,55.23,12.74,8.5,0,0
 96-106,0,0,0,6.56,1.09,0,48.09,0,4.37,9.84,2.19,0,0,30.6,0,0,1.09,1.09,25.14,1.09,19.67,1.09,31.69,0,0,0,0,3.28,2.19,0,0,0,0,32.79,13.11,9.84,0,1.09
108-118,0,0,0,4.6,0,0.77,50.55,0,0,8.43,2.3,0.77,0,19.15,0,0,0.77,0,22.21,0,13.79,1.53,15.32,0,0,0.77,0,1.53,2.3,0,0,0,0,29.87,14.55,3.06,0.77,0
120,0,0,0,0,0,0,25.48,0,0,13.72,3.92,0,0,9.8,0,0,1.96,0,13.72,0,11.76,0,23.52,0,0,0,0,1.96,0,0,0,0,0,43.12,9.8,1.96,1.96,0
