stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,7.89,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,86.75,5.26,0,0,55.2,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,40.91,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,5,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,1,43,0,0,0,1,1,0,4,0,0,4,15,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,0,15.6,0,0,4.1,0,0,0.82,0,0,0,0,0.82,0.82,11.49,0,0,2.46,135.44,0,0.82,0.82,0,7.39,0,0,0.82,0,2.46,29.55,0,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,0,0,29.81,0.81,0,6.45,0,0,0,0,0.81,0,0,0.81,0,8.06,0,0,1.61,165.16,0,0,0,0,2.42,0,0,0,0,0,27.39,0,0,0,0,0
 48-58,0,0,0,0,2.87,0.57,0,43.61,1.15,0.57,9.18,0,0.57,0,0,0,0.57,0,0,0.57,9.18,0,0,4.02,131.98,0,0.57,0.57,0,2.3,0,0,0,0,0,32.71,0,0.57,0,0,0
 60-70,0,0,0,0,1.96,0,0,83.43,0,0.98,4.91,0,0,0,0,0,0,0,0,0.98,20.61,0,0,0.98,138.39,0,2.94,0.98,0,2.94,0,0,0,0.98,0,18.65,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,5.89,0.98,69.7,0,1.96,18.65,0,0,0,2.94,0,0,0.98,0,0,30.43,0.98,0,4.91,112.89,0,3.93,0.98,0,2.94,0,0,0,0,0,17.67,0,0,3.93,2.94,1.96
 84-94,0,0,1.06,0,6.37,3.19,0,48.85,0,1.06,12.74,3.19,0,0,1.06,0,3.19,0,0,1.06,10.62,0,0,2.12,56.29,0,1.06,2.12,0,8.5,0,0,0,0,0,12.74,0,0,1.06,0,0
 96-106,0,0,0,0,6.56,3.28,0,31.69,1.09,0,6.56,1.09,0,1.09,1.09,1.09,1.09,0,1.09,0,19.67,2.19,1.09,2.19,61.2,0,3.28,2.19,0,15.3,0,0,0,0,0,1.09,3.28,0,4.37,0,2.19
108-118,0,0,0.77,0,5.36,2.3,0.77,32.94,0,0.77,7.66,0.77,0,0,3.83,0.77,0.77,0.77,0,0.77,14.55,0,1.53,1.53,54.38,0.77,0,1.53,0,3.06,0,0,0.77,0.77,0,2.3,0,0,2.3,1.53,1.53
120,0,0,1.96,0,5.88,0,5.88,39.2,0,0,3.92,1.96,0,0,3.92,0,1.96,0,0,0,17.64,1.96,0,1.96,78.39,1.96,1.96,0,0,5.88,0,0,1.96,0,0,1.96,1.96,0,1.96,0,0
