stage,erythrocytes,eye,glial,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,pericytes,slow_muscle,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22
 24-34,0,0.82,0,0,0.82,0,0,0,0.82,1.64,0,0,10.67,0,0.82,0,0.82,4.1,0,115.74
 36-46,0,0.81,0.81,0.81,0.81,0,0,0,0,0.81,0,0,4.83,0.81,0,0,0,0.81,0,75.73
 48-58,0,3.44,1.15,0,0,0,0,0,0,0.57,0,0.57,2.87,0,0,0,0,1.72,0,80.33
 60-70,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,3.93,0,0,0.98,0,0,0,57.91
 72-82,0.98,1.96,0,0,0.98,0.98,0.98,0,0,0.98,0,0,0.98,0,0,0,0,2.94,0,53.01
 84-94,0,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,37.17
 96-106,0,3.28,0,0,3.28,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09,36.06
108-118,0,0,0,0,0,0,0,0.77,0,0.77,0,0,1.53,0,0,0,0,0,0,31.4
120,0,0,0,0,3.92,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,17.64
