stage,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature
 14-21,0,0,0,0,1,0,0,0,1,0,1,12,1,0,0,1,1,0,0
 24-34,0.82,2.46,0,0,0,0,0,0,0,0,0.82,27.09,0,0,0,0,6.57,0,0
 36-46,0,16.11,1.61,0,0,0,0.81,0,0,0,0.81,29.81,0,0,0,0,12.89,0,0
 48-58,0,32.13,4.02,0,0,0,1.15,0,1.15,1.15,0,24.1,0,0.57,0,0,8.61,0,0
 60-70,0,77.54,0.98,0,0,0,0,0,0,0,0,30.43,0,0,1.96,0,6.87,0,0
 72-82,0,26.5,0.98,1.96,0,0,0.98,0,0,0,0,11.78,0.98,0,0,0,2.94,0,0.98
 84-94,0,24.43,1.06,0,0,0,0,0,0,0,0,5.31,0,0,4.25,0,0,0,1.06
 96-106,0,9.84,2.19,2.19,0,0,0,0,0,0,0,10.93,0,0,4.37,0,0,0,1.09
108-118,0.77,9.19,3.06,0,0,0.77,0.77,0.77,0,0,0,7.66,0,0,0,0,0,0.77,0
120,0,9.8,3.92,0,0,0,0,1.96,0,0,0,15.68,0,0,5.88,0,0,0,0
