stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,0,2.63,0,0,0,0,323.33,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,0,3.15,0,0,0,0,443.72,0,0,0,0,0,0,0,0,0,0,50.35,12.59,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,3,110,2,0,2,0,0,2,4,227,0,0,0,0,0,0,4,1,0,2,50,2,0,0,1,0,1,3,2,0,2,74,0,2,0,0
 24-34,0,0,13.95,149.4,0,0,9.03,0.82,0,3.28,0,61.56,0,0.82,0.82,0,0,0.82,2.46,3.28,0,1.64,49.25,0,0,0,0,0,0.82,0,2.46,0.82,0.82,45.15,0,27.09,0,0
 36-46,0,0,2.42,108.77,0,0,15.31,2.42,0,7.25,1.61,7.25,0,0,0.81,0,0,0,0,4.83,0,0,28.2,0,0,0,0,0,0,0,0.81,0,0,33.03,0,41.89,0,0
 48-58,0,0,0,113.61,0,0,14.35,8.03,0,9.75,0.57,0.57,0,0,0.57,0,0,0,2.87,5.16,0,0.57,19.51,0.57,0,0.57,0,0,0.57,0,1.15,0,0,15.49,0,39.59,0,0
 60-70,0,0,0,180.6,0,0,7.85,12.76,0,5.89,1.96,0,0,0,0,0,0,0,8.83,4.91,0,0,20.61,0,0,1.96,0,0,0.98,0,0.98,0,0,8.83,0,32.39,0.98,0
 72-82,0,0,0,118.78,2.94,0,18.65,4.91,0,16.69,4.91,0,0,0,0,0,0.98,0,38.28,11.78,0,0,18.65,0,0,5.89,0,0,0,0,2.94,0,0,4.91,0,47.12,0.98,0.98
 84-94,1.06,0,0,311.18,2.12,0,19.12,19.12,0,4.25,8.5,1.06,0,0,1.06,0,1.06,0,41.42,10.62,1.06,0,10.62,0,0,3.19,0,1.06,0,0,6.37,0,0,3.19,2.12,36.11,0,0
 96-106,0,0,2.19,253.54,1.09,0,28.41,17.49,2.19,8.74,28.41,0,1.09,2.19,1.09,1.09,0,1.09,84.15,8.74,0,0,27.32,0,1.09,5.46,0,0,2.19,0,3.28,0,0,3.28,1.09,59.01,1.09,0
108-118,0,0,4.6,258.9,0.77,0,19.92,20.68,0,4.6,46.72,0,0,0.77,3.06,0,0.77,0.77,99.58,8.43,0,1.53,17.62,0,0,11.49,0,0,3.06,0,8.43,0,0,1.53,3.06,33.7,0.77,0
120,0,0,0,88.19,1.96,1.96,27.44,7.84,0,1.96,15.68,0,0,0,0,1.96,0,0,50.95,1.96,0,0,13.72,0,0,5.88,0,0,1.96,0,0,0,0,1.96,0,25.48,0,0
