stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,1,2,1,0,2,70,0,0,0,0,0
 24-34,0,0,2.46,0,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,3.28,0,0,2.46,407.14,1.64,0.82,0,0,4.1,0,13.95,0,0,227.38,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,22.56,0.81,0.81,0,1.61,0,0.81,0,0,0,0,0,0,0,7.25,0,0,2.42,993.39,0.81,0,0,0,0.81,0,9.67,0,0,332.74,0,0,0,0,0
 48-58,0,0,8.03,0,0,175.58,1.15,0.57,0,9.18,0,0,0.57,1.15,0,0.57,0,0.57,0,15.49,0,0.57,2.3,1378.28,0,2.87,1.72,0,1.72,0,9.18,0,0,356.91,0,0,2.3,0,1.15
 60-70,0,0,3.93,0.98,0,560.45,1.96,0.98,0.98,11.78,0.98,0,0,0.98,0,0.98,0,0,0,22.58,0,0.98,2.94,2091.62,0.98,0.98,1.96,0,6.87,0,4.91,0.98,0,403.41,0,0,1.96,0.98,2.94
 72-82,0,0,15.71,1.96,0,875.64,1.96,0.98,2.94,57.92,0.98,0,0,0.98,0.98,4.91,0,2.94,0,68.72,0.98,1.96,4.91,2355.99,0,1.96,6.87,0.98,5.89,0,5.89,1.96,0,265.05,1.96,2.94,3.93,0,3.93
 84-94,1.06,0,18.05,3.19,1.06,643.59,1.06,0,1.06,66.91,0,0,0,1.06,0,3.19,2.12,1.06,1.06,41.42,1.06,3.19,2.12,1180.99,2.12,1.06,8.5,0,10.62,0,16.99,0,0,154,5.31,1.06,2.12,1.06,2.12
 96-106,0,0,27.32,4.37,1.09,552.98,0,2.19,1.09,65.57,9.84,0,0,4.37,2.19,3.28,1.09,4.37,0,44.81,3.28,1.09,4.37,1092.85,1.09,2.19,14.21,1.09,14.21,0,7.65,3.28,0,66.66,7.65,0,2.19,4.37,4.37
108-118,0,0,19.15,4.6,1.53,515.49,2.3,1.53,2.3,69.7,3.06,0,0,3.83,0.77,1.53,0.77,0.77,0.77,45.19,1.53,1.53,3.06,1148.94,0,0.77,7.66,0,9.96,0,4.6,3.83,0,45.96,7.66,2.3,2.3,0.77,0
120,0,0,17.64,0,0,460.55,1.96,3.92,0,64.67,1.96,0,0,3.92,0,0,3.92,0,0,39.2,0,9.8,5.88,1267.98,3.92,3.92,7.84,1.96,11.76,0,3.92,1.96,0,47.03,0,0,5.88,0,0
