stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,13.14,0,0,0,0,0,131.44,0,0,0,0,0,0,0,0,0,0,0,68.35,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,15.73,0,0,0,0,0,179.38,0,0,0,0,0,0,0,0,0,0,0,213.99,6.29,0,0,22.03,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,94,0,0,1,0,0,0,1,1,11,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,1,2,0,65,0,0,0,0,0
 24-34,0,0,0.82,87.83,0,0,4.1,0,0,0.82,1.64,0,0,0.82,0,2.46,0,0,0,0,8.21,2.46,0,1.64,18.88,0.82,0.82,4.1,0,2.46,4.93,2.46,121.49,0,0,1.64,0,0
 36-46,0,0,0,14.5,0,0,4.83,0,0.81,0.81,2.42,0,0,0,0,0,0,0,0,0,8.86,0.81,0,2.42,20.95,0,0,5.64,0,0,3.22,0,154.69,0,0,0,0,0.81
 48-58,0,0,0,8.61,0,0,11.48,0.57,0,1.15,13.77,0.57,0,0,0.57,0.57,0,0,0,1.15,18.36,2.87,0,0,22.95,0,0.57,14.35,0,0,3.44,0,227.8,0,0,0.57,0,0
 60-70,0,0,0,9.82,0,0,22.58,0,0,0,11.78,0,0,0,0,0,0,0,0,0,53.98,0.98,0,2.94,23.56,0,1.96,15.7,0,4.91,2.94,0,254.21,0,0,0,0,0
 72-82,0,0,0,16.69,0.98,0,29.45,0,0.98,0.98,11.78,0.98,0,0,0.98,0,0.98,0,1.96,0,110.93,1.96,0.98,5.89,28.47,0.98,0.98,19.63,0,0.98,6.87,0,194.37,0,0,0.98,0,0
 84-94,0,1.06,0,21.24,0,0,32.92,0,1.06,0,11.68,1.06,0,0,2.12,1.06,2.12,0,0,0,50.98,1.06,3.19,3.19,21.24,0,1.06,20.18,0,3.19,4.25,0,93.46,0,1.06,0,0,0
 96-106,0,0,1.09,24.04,2.19,2.19,22.95,0,1.09,2.19,6.56,0,0,2.19,0,4.37,0,0,0,0,71.04,3.28,0,5.46,21.86,1.09,7.65,22.95,0,3.28,10.93,0,57.92,2.19,1.09,0,0,0
108-118,0,0,0,45.19,0,6.13,28.34,0,0.77,0,6.13,2.3,0,0,0,2.3,1.53,0.77,1.53,0,72,1.53,2.3,2.3,28.34,1.53,0.77,26.81,0,0.77,8.43,0,45.96,0,0,0.77,1.53,0.77
120,0,0,0,37.24,1.96,0,7.84,0,5.88,0,9.8,0,0,0,0,0,0,0,0,0,48.99,5.88,0,9.8,39.2,0,0,17.64,0,3.92,5.88,0,52.91,0,0,0,0,0
