stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,2,1,0,0,32,0,72,7,0,0,0,0,0
 24-34,0,0,2.46,0,1.64,0,0.82,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0,168.28,0,5.75,0,0,0,0,0,0.82,43.51,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,0,0.81,0,0,0,0.81,0,0,0,0,1.61,0,2.42,0,0,387.53,0,1.61,0.81,0,0.81,0,0,0.81,82.18,0,0.81,0,0,0
 48-58,0,0,0.57,0,1.72,0,31.56,0,0,0,5.16,0,0,0,0.57,0.57,0.57,2.87,0,0.57,617.41,0,0,1.72,0,0.57,0,0,0,95.83,0,0,0.57,0,0
 60-70,0,0,1.96,0,1.96,0,121.71,0,0,0,23.56,0,0,0,0,0,0.98,12.76,0,2.94,1150.34,0,0,1.96,0,0,0,0.98,0,110.91,0,0,0,0,0.98
 72-82,0,0,3.93,0,9.82,0.98,213.02,0,0.98,0,34.36,2.94,0,0,1.96,0.98,0,14.72,0,1.96,1321.32,0,0,2.94,0,0.98,0,0.98,0,62.83,0.98,0,1.96,0,1.96
 84-94,0,0,0,0,9.56,2.12,160.37,2.12,0,1.06,20.18,1.06,1.06,1.06,0,1.06,1.06,10.62,2.12,3.19,594.74,1.06,1.06,8.5,1.06,3.19,0,0,0,37.17,1.06,0,0,0,1.06
 96-106,0,0,0,0,5.46,2.19,138.79,0,2.19,1.09,16.39,2.19,0,0,1.09,4.37,1.09,7.65,0,2.19,515.82,0,0,14.21,1.09,3.28,0,0,0,16.39,1.09,0,0,1.09,0
108-118,0,0,0,0,5.36,0,86.55,1.53,0,0,17.62,0.77,0,0,0,1.53,1.53,10.72,0,2.3,605.11,0,0,9.96,0,0,0,0,0,16.85,0,0,0.77,0,0.77
120,1.96,0,0,0,7.84,1.96,80.35,0,1.96,0,7.84,0,0,1.96,1.96,3.92,0,13.72,0,0,668.29,1.96,0,5.88,0,1.96,0,0,0,17.64,0,0,0,0,0
