stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1,1,0,2,1,0
 24-34,1.64,0,0.82,0,0,0.82,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57,2.3,0,1.72,0.57,0,0,0,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,1.96,0.98,0,1.96,0.98,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0.98,0,0.98,0
 84-94,0,3.19,0,0,0,0,1.06,0,0,1.06,0,3.19,0,1.06,0,0,0,0,0,0,0
 96-106,0,4.37,0,0,2.19,0,0,1.09,0,1.09,0,0,1.09,2.19,2.19,0,0,0,0,1.09,0
108-118,0,3.83,1.53,0,0,0,0,0,0.77,0,0,1.53,0,1.53,0,0,0,0,0,0,0.77
120,1.96,0,0,0,0,0,0,0,0,0,0,1.96,1.96,5.88,1.96,0,0,0,0,0,0
