stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,58,2,0,62,0,1,0,44,0,2,1,1,0,1,0,0,1,84,0,0,37,2093,1,1,59,0,0,6,3,2,0,44,440,0,1,0,0
 24-34,0,0,0,1.64,51.71,2.46,0,211.78,0,3.28,0.82,56.64,0,0,0.82,0,0.82,1.64,3.28,1.64,0.82,313.57,0.82,0,87.83,4346.43,0.82,4.93,61.56,0,0,14.78,0.82,2.46,3.28,38.58,957.12,0,1.64,0,0.82
 36-46,0,0,0,0,16.11,0.81,0,265.87,0,0,0.81,154.69,0,0,1.61,0.81,0,0.81,0,0,1.61,386.72,0.81,0.81,49.15,3095.38,0.81,0,5.64,0,0,3.22,0,0,1.61,1.61,614.73,0.81,3.22,0,0.81
 48-58,0,0,0.57,0,7.46,0,0,533.64,0,1.15,2.87,243.29,0,0,2.87,0,0,0,0,0,0,388.47,0,3.44,44.76,1478.7,1.72,0.57,1.15,0,0,4.02,0,0,0.57,0,195.67,0,0.57,0,1.72
 60-70,0.98,0,0,0,3.93,0.98,0,940.3,2.94,0,3.93,195.32,0,0,5.89,0,0,0.98,0,0,0,331.75,0,5.89,26.5,983.48,1.96,0.98,0,0,0,1.96,0,0,0,0,61.84,0,0.98,0,0.98
 72-82,0,0,0,0,9.82,5.89,0,802.02,0,1.96,1.96,178.66,0.98,0,5.89,1.96,0.98,0,0.98,0.98,0,410.33,0,6.87,24.54,681.27,0,0,3.93,0,1.96,0,0,0.98,0,0,29.45,3.93,0.98,1.96,2.94
 84-94,0,0,1.06,0,13.81,0,0,703.07,1.06,1.06,4.25,93.46,1.06,0,0,0,0,0,0,0,0,277.19,1.06,8.5,24.43,365.34,0,2.12,2.12,0,1.06,2.12,0,0,0,0,15.93,2.12,1.06,2.12,0
 96-106,0,0,0,0,15.3,1.09,0,414.19,1.09,1.09,3.28,95.08,0,0,0,2.19,0,1.09,1.09,1.09,0,204.36,0,7.65,26.23,323.48,0,2.19,0,0,3.28,1.09,0,0,0,0,4.37,2.19,0,1.09,2.19
108-118,0,0,0,0,6.13,2.3,0,269.62,1.53,0.77,6.89,83.49,0,0,0,0.77,0.77,0.77,0,0,0.77,153.96,0,3.83,11.49,362.3,0,0,0,0,5.36,3.06,0,0,0,0,4.6,0,1.53,0,0.77
120,0,0,0,0,7.84,0,1.96,146.98,0,0,3.92,84.27,0,0,1.96,0,1.96,0,0,0,0,90.15,0,3.92,15.68,286.13,1.96,3.92,0,0,0,1.96,0,0,0,0,3.92,1.96,1.96,0,0
