stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,3399.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.51,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,1477.24,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,73.56,18.39,0,0,24.52,0,796.85,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,7.89,0,26.29,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,15.73,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,15,15,161,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.75,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,11.49,0,0.82,0,0,0,1.64,0,0,0,12.31,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,37.87,1.61,0.81,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,27.39,0,0.81,0,0,0,0,0,0,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,276,1.15,0,0,2.3,0,0,0,0,0,0,0,0,0,2.87,0,2.87,21.8,0,0,0,0,0,1.15,0,0,0,0,8.03,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,988.39,0,0.98,0,1.96,0,0,0,0,0.98,0,0,0,0.98,5.89,0.98,0.98,40.24,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0.98
 72-82,0,0,0,5.89,3.93,0,1185.85,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,18.65,0,0.98,42.21,0,0,1.96,0,0,3.93,0,0,0,0,7.85,0,0,0.98,0,0.98
 84-94,0,0,0,12.74,5.31,1.06,1263.82,1.06,1.06,0,10.62,1.06,0,0,1.06,0,1.06,1.06,0,1.06,16.99,0,3.19,37.17,1.06,2.12,0,0,0,1.06,0,0,0,0,6.37,0,0,1.06,1.06,0
 96-106,0,0,0,3.28,6.56,0,888.48,0,0,1.09,5.46,0,0,0,2.19,0,1.09,0,1.09,0,10.93,1.09,4.37,28.41,1.09,2.19,0,0,0,6.56,0,0,0,0,1.09,0,1.09,3.28,0,1.09
108-118,0,0,0,7.66,5.36,1.53,566.81,1.53,0.77,1.53,8.43,0.77,0,0,0.77,0.77,0,0,12.26,0.77,14.55,0,3.06,42.89,0.77,0.77,0,0,0.77,3.06,0,0,0,0,0.77,0,0.77,2.3,0.77,0
120,0,0,0,7.84,3.92,0,470.35,0,3.92,1.96,3.92,0,0,0,0,1.96,0,0,9.8,0,7.84,0,1.96,62.71,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
