stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,205.04,2.63,0,5.26,0,0,0,26.29,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,276.01,236.58,0,0,68.35,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,22.03,0,0,0,97.56,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,739.54,81.82,0,0,78.67,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,188,34,0,0,4,0,2,0,0,341,0,0,0,0,0
 24-34,0,0,0,0.82,66.49,0,0,13.13,0,0,0,4.93,0,0,0,0,0.82,0,0,3.28,0.82,0,0.82,119.02,8.21,0,0,0,1.64,0,0,0.82,239.69,0,0,0.82,0,0
 36-46,0,0,0,2.42,62.84,0,0,82.18,0,0.81,0,11.28,0,0,0,0,0,0,0,6.45,0.81,0,0,99.1,4.03,0,0,0,0,0,0,0,169.19,0,0,0.81,0,0
 48-58,0,0,0,0,94.68,0,0,102.71,0.57,0.57,0.57,16.07,0.57,0,0,1.15,0,0,0,9.18,0,0.57,0,61.97,4.59,0,0,0,0,0,0,0,139.43,0,0,0,0,0
 60-70,0,0,0,0,110.91,0,0,77.54,0,0,0.98,29.45,1.96,0,0,0,0,0,0,8.83,0.98,0,0,41.22,11.78,0,0,0,0.98,0,0,0,71.65,3.93,0,0,0,0
 72-82,0,0,0,0,130.56,0.98,0,63.81,0,0,6.87,45.16,6.87,0,0,0.98,0,0.98,0.98,15.71,1.96,0,0,53.01,15.71,0,0,0,0.98,0,0,0,61.84,14.72,0,0,0.98,0.98
 84-94,0,0,0,0,181.61,1.06,0,141.25,0,1.06,5.31,33.99,23.36,0,2.12,3.19,1.06,0,0,8.5,0,0,1.06,24.43,24.43,1.06,0,0,1.06,0,0,1.06,55.23,45.67,0,0,1.06,0
 96-106,0,0,1.09,0,192.34,3.28,1.09,140.98,1.09,5.46,5.46,38.25,63.39,0,0,5.46,0,1.09,2.19,18.58,2.19,0,1.09,26.23,32.79,1.09,1.09,0,3.28,0,0,0,77.59,61.2,0,2.19,1.09,0
108-118,0,0,0,0,157.02,0,0.77,147.06,0.77,0.77,4.6,37.53,58.98,0,0,1.53,0.77,0.77,0,9.19,0.77,0,0,32.17,47.49,0,0.77,0,0,0,0,0,39.83,53.62,0.77,0,0,0
120,0,0,0,0,90.15,0,0,48.99,0,0,1.96,27.44,23.52,0,0,0,0,0,1.96,1.96,3.92,0,0,23.52,45.08,0,0,0,0,0,0,0,37.24,13.72,0,0,0,0
