stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,39.53,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,13.14,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,168.24,5.26,0,0,63.09,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,31.47,0,3.15,22.03,0,0,0,0,0,0,3.15,0,0,0,0,119.58,3.15,0,0,31.47,0,0,0,6.29,0,0,3.15,0,0
 14-21,0,0,4,2,24,3,1,0,47,2,1,0,0,1,5,0,0,1,54,4,6,42,15,1,1,4,56,0,3,121,0,0
 24-34,0,0,0,2.46,13.95,0,2.46,0,31.19,0.82,0,0,0.82,0.82,3.28,0,0,0,40.22,0.82,35.3,15.6,0,0.82,0,0,22.16,0,1.64,62.39,0,0
 36-46,0,0,0,0,2.42,0,3.22,0,16.11,0,0,0,3.22,2.42,3.22,0,0,0,35.45,0,29,4.83,0,0,0,0,8.86,0,0,20.14,0,0
 48-58,0,0,0.57,0,2.87,0,6.31,0.57,14.92,0,0,0.57,1.72,0,7.46,0.57,0,0,41.31,0,16.64,8.03,0,0.57,0,0,1.15,0,0,15.49,0,0
 60-70,0,0,0,0,2.94,0,4.91,0,10.8,0,0,0,2.94,0,3.93,0,0,0,39.26,0,17.67,3.93,0,1.96,0,0,1.96,0,0,13.74,0,0
 72-82,0,0,4.91,0,2.94,0.98,7.85,0,10.8,2.94,0.98,0,3.93,0,4.91,0.98,0,0,25.52,0,29.45,16.69,0,0.98,0,0,1.96,0,0,5.89,0,0
 84-94,0,0,3.19,1.06,3.19,0,4.25,0,8.5,2.12,1.06,0,2.12,0,3.19,1.06,2.12,1.06,21.24,0,21.24,12.74,0,0,1.06,0,3.19,0,0,1.06,0,0
 96-106,0,0,4.37,0,3.28,1.09,2.19,0,12.02,2.19,1.09,0,4.37,0,3.28,0,0,0,14.21,0,25.14,20.76,0,2.19,0,0,4.37,0,0,5.46,1.09,1.09
108-118,0,0,1.53,1.53,0,0,3.06,0,6.89,0,0,0,1.53,0,4.6,0,0,0,8.43,0,22.21,13.02,0,0,0,0,3.83,0.77,0,1.53,0,0.77
120,0,0,0,0,0,0,3.92,0,7.84,7.84,0,0,0,0,1.96,0,1.96,0,5.88,0,7.84,13.72,0,0,0,0,3.92,0,0,0,1.96,0
