stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,28,3,0,0,0,0,0,0,1,0,0,10,0,0,0,0,4,0,0,3,8,12,0,0,0,0,91,1,0,0,1,0,0,0,0,0
 24-34,0,0,2.46,0.82,111.64,0,0,6.57,0,2.46,0,0.82,0.82,0,0,3.28,0,0,0.82,0,11.49,9.03,0,1.64,39.4,13.13,4.93,1.64,0,0,569.67,0,0,0,6.57,0,0,1.64,0,0
 36-46,0,0,0.81,1.61,177.25,0,0,12.89,0,5.64,0,0,0,0.81,0.81,5.64,0,0.81,0.81,0,30.62,12.09,8.86,3.22,51.56,10.47,19.34,2.42,0,0,759.75,0.81,0.81,0,15.31,0,0,2.42,0,1.61
 48-58,0,0,0,0.57,129.11,0,0,13.77,0.57,10.33,0.57,4.02,1.15,0,0,4.59,0.57,0,0,0.57,42.46,8.61,13.77,3.44,43.61,1.72,6.89,0.57,0,0,469.37,0,0,0,8.61,0,0.57,1.15,0,1.72
 60-70,0,0,4.91,0,207.1,0,0,31.41,0,24.54,0.98,1.96,9.82,0.98,0.98,11.78,0,1.96,1.96,0,103.06,7.85,31.41,1.96,60.85,2.94,19.63,0,0,0,575.17,0,0,0,8.83,5.89,5.89,0.98,12.76,0.98
 72-82,0,0,23.56,0,163.94,0,0,25.52,0,18.65,0.98,3.93,14.72,0,1.96,14.72,0,1.96,0,0.98,94.24,9.82,9.82,0.98,38.28,0.98,17.67,0.98,0,0,651.82,0,0.98,0.98,5.89,19.63,8.83,1.96,21.6,1.96
 84-94,0,0,14.87,0,366.4,3.19,0,28.68,0,87.09,1.06,2.12,45.67,0,3.19,41.42,1.06,0,1.06,0,88.15,16.99,24.43,1.06,23.36,0,67.97,1.06,0,0,2093.28,0,0,0,1.06,87.09,15.93,7.43,27.61,0
 96-106,0,0,15.3,0,566.09,2.19,0,28.41,1.09,80.87,2.19,7.65,59.01,1.09,8.74,74.31,2.19,1.09,4.37,0,107.1,39.34,14.21,3.28,73.22,1.09,79.78,3.28,0,0,2231.59,0,0,0,3.28,169.39,7.65,13.11,28.41,1.09
108-118,0.77,0,8.43,0,499.41,1.53,0.77,16.85,0.77,104.17,1.53,6.13,55.15,0,3.83,98.04,0,0,2.3,0,81.96,40.6,11.49,4.6,49.02,1.53,49.02,2.3,0,1.53,2032.87,0,0.77,0.77,3.06,131.75,7.66,7.66,16.09,0.77
120,1.96,0,13.72,0,325.32,5.88,1.96,13.72,0,64.67,0,3.92,37.24,1.96,3.92,39.2,0,0,3.92,0,70.55,15.68,1.96,3.92,54.87,0,35.28,5.88,0,0,1271.9,0,0,0,0,47.03,3.92,3.92,5.88,0
