stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0.82,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,4.03,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,1.72,0,0,0,0,1.15,0,0,1.72,0,0,0,1.15,0
 60-70,0,0,0,0,3.93,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,10.8,2.94,0,0,0.98,0,2.94,0,0,1.96,0,0,0,0,0.98
 84-94,0,0,1.06,1.06,13.81,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,5.46,1.09,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,9.19,0,0.77,0.77,0.77,0,0.77,0.77,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
