stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,55,0,1.64,0,0,0,16.42,0,0,0.82,0
 36-46,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0,0,0,4.83,0,136.96,0,0.81,0,0,0,22.56,0,0,0,0
 48-58,0,0,0,0,0,12.62,0,0,1.72,0,0,0,0,0,0.57,3.44,0,259.93,0,0,0,0,0,30.41,0,0,0,0.57
 60-70,0,0,0,0,0,54.97,0,0.98,2.94,0,0,0,0,0,0,2.94,0,406.35,0,0,0,0,0.98,47.11,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,113.87,0,0,11.78,0,0,0,0,0,0,6.87,0.98,397.57,0,0,1.96,0,0,32.39,0,0,0.98,0
 84-94,0,0,3.19,0,0,62.66,0,0,8.5,0,0,0,1.06,0,1.06,4.25,0,195.41,1.06,0,1.06,3.19,0,10.62,0,1.06,0,0
 96-106,0,0,5.46,1.09,0,68.85,0,0,4.37,1.09,0,0,2.19,1.09,0,5.46,0,198.9,0,0,3.28,2.19,0,9.84,0,0,1.09,0
108-118,0,0,3.06,0,0,44.43,0.77,0,6.13,0,0.77,0,0.77,0,0.77,5.36,0.77,150.89,0,0.77,2.3,0.77,0,3.06,0.77,0,0.77,0
120,0,0,0,0,0,39.2,1.96,0,7.84,0,0,1.96,0,0,0,1.96,0,233.21,0,1.96,0,1.96,0,9.8,0,0,0,1.96
