stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,154,25,1,0,0,0,0,8,1,0,0,0,0,0,0,172,0,0,126,51,0,0,0,0,0,2,2,0,1,5,9,0,0,4,0,0
 24-34,0.82,0,0,0,32.01,4.1,1.64,0,0,0,0,0,0,2.46,0,0,0,0,0,257.75,0,5.75,36.94,32.01,0,0.82,1.64,0,1.64,1.64,0,0,2.46,3.28,9.03,0,0,35.3,0,0
 36-46,0,0,0,0,31.42,0,4.83,0.81,0.81,3.22,0.81,0,0,4.83,0,0.81,0,0.81,0,373.02,0,35.45,41.09,36.26,0.81,1.61,0,0,2.42,2.42,0,0,2.42,0,6.45,0,0.81,46.73,0,0
 48-58,0,0,0,0,6.31,1.72,12.62,0,0.57,4.59,4.02,0,0,2.3,0,0.57,0,0,0,527.33,0.57,73.45,22.95,46.48,0.57,0,1.15,0,8.03,1.72,0,0,0,0,10.9,0,5.16,47.05,2.3,1.72
 60-70,0,0,0,0,17.67,1.96,30.43,6.87,0,3.93,3.93,0,0,2.94,0,0.98,0.98,0,0.98,692.95,0,102.08,18.65,45.15,0,1.96,0,0,7.85,0.98,0,0,0,0,6.87,0.98,42.21,35.33,29.45,0.98
 72-82,0,0,0,0,7.85,2.94,32.39,11.78,0.98,0.98,3.93,0,0,0,0,0.98,0,0,0,717.59,0,63.81,9.82,43.19,0,0,1.96,0,16.69,0.98,0,0,0,0,1.96,0.98,53.99,64.79,77.55,0
 84-94,0,0,0,0,9.56,0,72.22,13.81,1.06,4.25,5.31,1.06,0,2.12,1.06,0,0,0,0,543.76,0,84.96,15.93,13.81,0,0,2.12,0,9.56,2.12,0,0,0,0,2.12,0,73.28,50.98,83.9,0
 96-106,0,0,0,0,15.3,0,61.2,9.84,3.28,3.28,8.74,0,0,0,0,1.09,1.09,0,2.19,499.43,0,52.46,8.74,28.41,0,0,0,0,16.39,3.28,0,1.09,0,0,1.09,1.09,56.83,54.64,107.1,1.09
108-118,0,0,0.77,0,6.13,0.77,13.02,11.49,1.53,1.53,1.53,0,0,0.77,1.53,0.77,0.77,0,0,383.75,0,42.89,3.83,26.81,0,0,0,0,16.09,0.77,0,0,0,0,1.53,0.77,39.06,39.06,63.57,0
120,0,0,0,0,3.92,0,5.88,9.8,1.96,0,3.92,0,0,0,0,1.96,0,0,0,305.73,0,33.32,5.88,15.68,0,0,0,0,3.92,1.96,0,0,0,0,0,1.96,19.6,58.79,48.99,0
