stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0,1.72,0,4.59,0,0,0.57,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,1.96,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,1.06,3.19,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0,0,0,0,0
120,0,0,0,0,0,9.8,0,1.96,0,0,0,0,1.96,0,0,0,0
