stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,3,0,2,52,0,0,0,1,0,2,3,15,0,0,0
 24-34,0,0.82,1.64,0,4.1,0,0,0,1.64,0,0,0,0,0,0,5.75,0,2.46,41.86,0,1.64,3.28,0,0.82,0,0,9.85,1.64,0,0
 36-46,0,0,0.81,0,8.86,0,0,0,1.61,0,0,0.81,0,0,0,7.25,0,1.61,40.28,0.81,0,1.61,0,0,0,0,12.09,0.81,0,0
 48-58,0,0,0,0,6.31,0,0,0.57,4.02,0,0,0,0,0.57,0,8.03,0.57,1.15,17.79,0,2.3,0,0,0.57,0,0,4.02,0,0,0
 60-70,0,0,0.98,0,36.32,0,0,0,5.89,0.98,0,0.98,0,0,0,12.76,0,2.94,22.58,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,3.93,0,47.12,0,0,0.98,8.83,0,0,0,0,0.98,0.98,7.85,0,0.98,50.06,0,0.98,0,0,0,0,0,4.91,0,0,0.98
 84-94,0,0,1.06,0,40.36,0,0,2.12,4.25,0,0,0,0,1.06,0,8.5,0,1.06,16.99,0,1.06,1.06,0,1.06,0,0,2.12,0,1.06,0
 96-106,0,0,0,0,45.9,0,0,0,3.28,0,1.09,2.19,0,1.09,0,12.02,4.37,0,19.67,0,2.19,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,1.53,0,51.32,0.77,0.77,0,5.36,0,0,1.53,0.77,0,0.77,6.89,0,0.77,17.62,0,1.53,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,66.63,0,0,0,3.92,0,0,0,0,0,0,1.96,0,1.96,23.52,0,3.92,0,0,0,0,0,1.96,0,0,0
