stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,12,4,6,0,0,0,0,0,1,0,0,0,0,3,0,7,51,1,0,1,3,2,4,0,0,4,21,3,0,0
 24-34,0,4.93,0.82,15.6,0,0.82,0.82,4.1,0,0.82,0.82,0,0.82,0.82,5.75,0,5.75,78.8,1.64,0,0.82,0,3.28,0,0.82,0,0.82,13.95,18.06,0,0.82
 36-46,0,0.81,0,13.7,0,2.42,2.42,1.61,0,0,0,0.81,0.81,0.81,11.28,1.61,4.03,61.23,0.81,1.61,0,0,1.61,0,0,0,0,15.31,4.83,0,0.81
 48-58,0,0.57,0,21.23,0,1.15,0.57,5.16,0,0,0,2.87,0.57,0,9.75,0.57,2.3,43.04,1.15,0,0.57,0,1.15,0,0,0,0,7.46,7.46,0,1.15
 60-70,0,0.98,0.98,16.69,0,4.91,2.94,3.93,0,0,0.98,4.91,0.98,0,21.59,0,0,29.45,0.98,0,0,0,0,0,0.98,0.98,0,0,6.87,0,0
 72-82,0.98,0.98,0.98,20.61,0,1.96,0,6.87,0,0.98,0.98,4.91,0.98,0,36.32,0.98,3.93,16.69,0,0,0,0,0,0,0,0,0,2.94,16.69,0,0.98
 84-94,0,4.25,0,7.43,0,4.25,2.12,2.12,0,0,1.06,8.5,0,0,13.81,0,1.06,13.81,0,0,1.06,0,0,0,0,0,0,0,7.43,0,0
 96-106,0,0,1.09,8.74,1.09,3.28,1.09,4.37,1.09,3.28,1.09,14.21,1.09,0,16.39,2.19,1.09,16.39,0,0,0,0,2.19,0,0,0,0,1.09,12.02,1.09,0
108-118,0,1.53,0,7.66,0,8.43,3.06,3.83,0,0,0,13.79,0,0.77,6.89,0,0,3.83,0,0,0.77,0,1.53,0,0,0.77,0,0,8.43,0,0.77
120,0,7.84,1.96,7.84,1.96,5.88,0,1.96,1.96,0,3.92,3.92,0,1.96,9.8,0,1.96,11.76,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0
