stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,925.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,0,73.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,7.89,21.03,0,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,454.77,23.66,0,0,147.21,0,7.89,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,47.2,0,6.29,0,56.65,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,374.49,25.18,0,0,147.91,0,6.29,0,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,16,3,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,10,0,0,7,40,4,0,1,6,0,3,0,17,0,0,15,29,0,0,1,0,0
 24-34,0,0,0.82,5.75,0,0,9.03,0,1.64,0.82,0,0.82,0,0,0.82,0,0,0.82,0.82,32.83,15.6,0.82,0,8.21,62.39,3.28,0,0.82,0,0,12.31,0,0,0,0,0.82,21.34,0,0,4.93,0,0
 36-46,0,0,0,3.22,0.81,0,28.2,0,3.22,0.81,8.06,0,0,0.81,1.61,0,0,0,0,82.98,16.92,0,0.81,4.03,70.09,2.42,2.42,0,0,0.81,10.47,0,0,0.81,0,0,29.81,0,0.81,4.03,0.81,0
 48-58,0,0,0,2.87,0.57,0,42.46,1.15,0.57,1.72,14.92,0.57,0,0,2.3,0,0.57,0,0,78.61,33.28,0,0.57,4.02,68.28,1.72,0.57,2.87,0,0,6.31,0,0,0,0,0,26.4,0,0,2.3,0,1.15
 60-70,0,0,0,0.98,0,0,57.91,0.98,2.94,0.98,22.58,0.98,0,0,1.96,0,7.85,1.96,0,36.32,40.24,0.98,4.91,4.91,60.85,1.96,0,0,0,0,8.83,0,0,0.98,0,0,12.76,0,0.98,9.82,0.98,0.98
 72-82,0,0,0,3.93,0.98,0,38.28,0,0.98,0.98,26.5,1.96,0,0.98,6.87,2.94,6.87,0.98,0,38.28,61.84,0,1.96,11.78,57.92,0,1.96,1.96,0,0,23.56,0,0,0,0,0,9.82,0.98,0.98,6.87,0.98,0
 84-94,0,0,0,12.74,3.19,0,21.24,0,1.06,3.19,13.81,3.19,0,0,11.68,2.12,8.5,0,1.06,60.54,40.36,2.12,2.12,2.12,35.05,2.12,0,1.06,0,0,60.54,0,0,1.06,1.06,0,10.62,0,2.12,6.37,0,0
 96-106,0,0,0,9.84,2.19,2.19,16.39,0,3.28,1.09,21.86,3.28,0,1.09,13.11,1.09,16.39,1.09,2.19,50.27,38.25,0,0,8.74,25.14,0,3.28,2.19,0,0,54.64,0,0,1.09,0,0,3.28,1.09,1.09,5.46,1.09,2.19
108-118,0,0,0,13.02,6.13,0.77,21.45,0.77,0.77,2.3,19.92,3.06,0,0.77,13.79,2.3,19.92,1.53,4.6,45.96,24.51,0.77,2.3,5.36,39.06,0.77,1.53,2.3,0,0.77,35.23,0,0,0.77,0.77,0,2.3,0,0,4.6,1.53,1.53
120,0,0,0,13.72,1.96,1.96,23.52,3.92,0,0,11.76,5.88,0,1.96,19.6,0,9.8,0,1.96,23.52,19.6,0,0,5.88,37.24,0,1.96,0,0,0,27.44,0,0,1.96,0,0,1.96,1.96,0,3.92,0,0
