stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,10,0,0,0,1,0,0,1,0,205,582,3,0,0,0,0,1
 24-34,0,0,0.82,3.28,0.82,0,13.95,221.63,1.64,0.82,1.64,0,0,0.82,0.82,0,0,0.82,0.82,0,7.39,0.82,0.82,45.15,127.23,0,4.93,0.82,0,7.39,0,0.82,1.64,96.86,356.25,22.16,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,13.7,449.56,0.81,0.81,2.42,0,0,1.61,0,0,0,0,0.81,0,12.89,0.81,0,28.2,122.46,0,0,0,0,5.64,0.81,0,0,40.28,26.59,21.75,0,0,1.61,0,0
 48-58,0,0,0,3.44,1.15,0,62.54,446.99,0,0,17.21,0,0,0,0,0,0.57,0.57,1.15,1.72,27.54,0.57,0.57,29.84,228.95,0.57,1.15,2.3,0.57,5.16,0,0,0,21.23,0,37.87,0,0,2.3,0,3.44
 60-70,0,0,0,2.94,1.96,0,80.48,329.79,1.96,0.98,9.82,0,0.98,0,0.98,0,0,0,0,0.98,27.48,0,0.98,35.33,252.25,0,1.96,0.98,0.98,7.85,0,0,0.98,18.65,0,19.63,0.98,0,0,0,2.94
 72-82,0,0,0,4.91,4.91,0,66.75,233.64,0.98,1.96,20.61,0.98,0,0,1.96,0,0,0,0.98,0.98,29.45,0,0.98,25.52,296.46,0,1.96,0,0,0.98,0,0,0,5.89,0,9.82,0,0,3.93,0.98,2.94
 84-94,0,0,0,11.68,6.37,0,56.29,375.96,1.06,1.06,11.68,2.12,0,1.06,2.12,0,1.06,0,0,3.19,30.8,0,1.06,40.36,149.75,0,3.19,1.06,0,16.99,0,0,0,12.74,0,9.56,0,4.25,2.12,2.12,3.19
 96-106,0,0,0,12.02,7.65,0,57.92,598.88,2.19,0,24.04,2.19,0,0,5.46,0,2.19,2.19,5.46,0,38.25,1.09,1.09,31.69,181.41,1.09,7.65,1.09,1.09,16.39,0,0,1.09,13.11,0,5.46,1.09,1.09,6.56,3.28,3.28
108-118,0,0,0,10.72,6.13,0.77,39.06,450.39,0.77,0,8.43,0,0,0.77,5.36,0.77,3.06,0,2.3,0.77,25.28,0,1.53,45.19,184.6,0,0.77,0,0,6.89,0,0,0.77,15.32,0,2.3,0,1.53,2.3,1.53,3.06
120,0,0,0,7.84,3.92,1.96,21.56,262.61,0,1.96,9.8,3.92,0,0,5.88,0,0,0,1.96,0,23.52,1.96,0,41.16,146.98,0,0,1.96,0,9.8,0,0,0,3.92,0,1.96,0,0,1.96,1.96,1.96
