stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,2,4,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0.82,0.82,12.31,0,0,0.82,0,0,4.1,0.82,0.82
 36-46,0,0,0,0.81,0,0,0,0,2.42,0,18.53,0.81,0,0,0,0,3.22,0,0.81
 48-58,0,0,0.57,2.87,0,0,2.87,0,0,0,23.53,0,0,1.72,0.57,0,6.89,0,1.72
 60-70,0,0,0,7.85,0,0.98,5.89,0,0.98,0,16.69,0,0.98,0.98,0,0,2.94,0,0.98
 72-82,0,0,0,7.85,0,0,8.83,0,0.98,0.98,17.67,0,0,0,0,0,1.96,0.98,1.96
 84-94,0,0,1.06,4.25,0,0,1.06,0,3.19,0,16.99,1.06,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,0,3.28,0,2.19,0,6.56,0,1.09,2.19,0,0,0,0,0
108-118,0,0,0,3.83,0,0,6.13,0.77,0.77,0.77,6.89,0,0,0.77,0,0,0.77,0,3.06
120,0,0,0,5.88,1.96,0,0,0,7.84,0,1.96,0,1.96,0,0,0,1.96,1.96,0
